date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 6  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Sep 7  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Sep 12  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Sep 13  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Sep 19  #,home,Rocky Mountain High School,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Sep 26  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Sep 27  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Oct 3  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Oct 4  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Oct 10  #,home,Inter-squad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Oct 11  #,home,Inter-squad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
Oct 17  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,luisalcantaraxdps,Luis Alcantara
