date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 14,home,Hannibal-Lagrange JV,W,10-0,10,0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 14,home,Hannibal-Lagrange JV,W,5-1,5,1,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 17,home,Lake Land,W,4-1,4,1,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 17,home,Shawnee,W,6-4,6,4,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 25,home,Williams Baptist JV,W,8-1,8,1,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 25,home,Williams Baptist JV,W,6-4,6,4,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 28,home,Harding JV,W,6-0,6,0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Feb 28,home,Harding JV,W,11-2,11,2,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 4,home,Southeastern Illinois,W,6-1,6,1,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 4,home,Southeastern Illinois,W,4-3,4,3,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 7,home,St. Charles,W,8-0,8,0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 7,home,St. Charles,W,8-1,8,1,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 9,home,St. Charles,W,9-4,9,4,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 9,home,St. Charles,L,3-2,3,2,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 12,home,Wallace-Dothan,W,10-4,10,4,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 12,home,Enterprise State,L,12-10,12,10,2.0,win,20130312_h3da,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 13,home,Lurleen B. Wallace,L,11-9,11,9,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 14,home,Andrew,L,9-2,9,2,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 14,home,Andrew,W,5-3,5,3,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 19,home,Kaskaskia,,,,,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 19,home,Kaskaskia,,,,,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 19,home,Kaskaskia,,,,,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 19,home,Kaskaskia,,,,,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 21,home,North Central Missouri,W,11-1,11,1,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 21,home,North Central Missouri,W,10-1,10,1,9.0,win,20130321_h965,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 23,home,North Central Missouri,W,5-3,5,3,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 23,home,North Central Missouri,W,11-2,11,2,9.0,win,20130323_79es,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 28,home,St. Louis,W,9-0,9,0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 28,home,St. Louis,W,4-0,4,0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 29,home,St. Louis,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
Mar 29,home,St. Louis,L,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2013,2012-13,div1,Mineral Area,mineralareacollege,colbybrownmqtu,Colby Brown
