date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 16,home,Lake Land,W,8-2,8,2,6.0,win,20130216_j6ez,2,1,0,,,,0,1,1,,,,,,0,0,,,,,3,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Feb 16,home,St. Louis,W,2-0,2,0,2.0,win,20130216_u2i9,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Feb 17,home,Ellsworth,L,6-4,6,4,2.0,win,20130217_vrgu,3,1,1,1,,,0,,,,,1,,,2,1,,,,,4,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Feb 17,home,Shawnee,W,10-0,10,0,10.0,win,20130217_r0e6,3,2,2,,,1,2,,1,1,,,,,5,1,,,,,3,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Feb 27,home,Dallas College - North Lake,W,23-3,23,3,20.0,win,20130227_z7sj,3,4,3,2,,1,6,1,,1,,,,,8,3,,,,,4,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Feb 27,home,Dallas College - North Lake,W,10-6,10,6,4.0,win,20130227_uz82,3,2,3,,,1,3,1,,1,,,,,6,1,,,,,4,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Mar 1,home,Ellsworth,W,2-1,2,1,1.0,win,20130301_zhc2,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Mar 1,home,Ellsworth,W,5-2,5,2,3.0,win,20130301_ykae,2,0,0,,,,0,,1,,,,,1,0,0,,,,,3,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Mar 2,home,Ellsworth,W,7-3,7,3,4.0,win,20130302_kmiu,3,0,1,1,,,2,,,,,1,,,2,1,,,,,4,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
Mar 2,home,Ellsworth,W,11-5,11,5,6.0,win,20130302_tma9,4,2,2,,,1,4,1,1,,1,,,,5,1,,,,,5,2013,2012-13,div1,Connors State,connorsstatecollege,eliroundtree1676,Eli Roundtree
