date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 7,home,UNC Wilimngton Club,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Feb 7,home,UNC Wilmington Club,L,8-5,8,5,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Feb 13,home,Danville,L,11-1,11,1,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Feb 14,home,Newport News Apprentice,L,17-2,17,2,15.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Feb 14,home,Thomas Nelson Community College,L,7-6,7,6,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 4,home,Rockingham,L,4-0,4,0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 4,home,Rockingham,L,7-0,7,0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 7,home,Monroe College,L,12-3,12,3,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 8,home,PSU Schuylkill,L,15-1,15,1,14.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 8,home,PSU Schuylkill,L,15-3,15,3,12.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 9,home,Illinois Valley,L,7-3,7,3,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 9,home,Montgomery County,L,12-2,12,2,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 10,home,Montgomery County,L,7-2,7,2,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 11,home,Rockingham,L,18-0,18,0,18.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 18,home,Walters State,L,14-0,14,0,14.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 21,home,Brunswick,L,11-1,11,1,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 21,home,Brunswick,L,4-2,4,2,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 22,home,Brunswick,L,8-0,8,0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 25,home,Southside Virginia CC,L,7-0,7,0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 28,home,Lenoir,L,11-0,11,0,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 28,home,Lenoir,L,12-2,12,2,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Mar 29,home,Lenoir,L,8-0,8,0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 2,home,King University  JV,L,8-2,8,2,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 2,home,King University JV,L,14-1,14,1,13.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
