date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,LaGrange College JV,W,5-2,5,2,3.0,win,20160130_wy1f,3,0,0,,,,0,,,,,,,1,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Jan 30,home,LaGrange College JV,L,8-5,8,5,3.0,win,20160130_fhms,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 5,home,Darton State,L,6-2,6,2,4.0,win,20160205_ex93,2,1,2,1,,,0,1,,1,,,,,3,1,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 5,home,Darton State,L,10-2,10,2,8.0,win,20160205_v8ej,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 9,home,Chattahoochee Valley,L,5-3,5,3,2.0,win,20160209_kbz7,4,1,1,,,,0,,3,1,,,,,1,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 12,home,John A. Logan,L,7-2,7,2,5.0,win,20160212_v5pb,3,0,0,,,,0,,2,,,1,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 12,home,John A. Logan,L,12-10,12,10,2.0,win,20160212_lbr9,3,2,1,,,,0,2,1,,,1,,,1,0,,,,,6,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 13,home,John A. Logan,L,15-11,15,11,4.0,win,20160213_rjrr,4,0,1,,,,1,1,2,,1,,,,1,0,,,,,5,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 13,home,John A. Logan,L,8-1,8,1,7.0,win,20160213_zltf,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 18,home,Coastal Alabama - Brewton,L,9-6,9,6,3.0,win,20160218_arib,3,2,0,,,,0,1,,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 18,home,Coastal Alabama - Brewton,L,3-2,3,2,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 20,home,Darton State,W,3-2,3,2,1.0,win,20160220_zkjg,1,1,0,,,,0,1,1,1,,,,,0,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 20,home,Darton State,L,9-1,9,1,8.0,win,20160220_gf5m,1,0,0,,,,0,1,1,,,,,,0,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 25,home,Andrew,L,3-1,3,1,2.0,win,20160225_m68c,3,0,0,,,,0,,2,,,,,,0,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 26,home,Coastal Alabama - Brewton,W,8-1,8,1,7.0,win,20160226_kk2x,4,0,1,,,,0,,,,,,,,1,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 26,home,Lurleen B. Wallace,L,5-0,5,0,5.0,win,20160226_mtqc,3,0,0,,,,0,,,,,,,,0,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 27,home,Enterprise State,L,5-3,5,3,2.0,win,20160227_v0sk,4,0,0,,,,0,,,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Feb 27,home,Lurleen B. Wallace,L,4-3,4,3,1.0,win,20160227_d6bn,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 6,home,Andrew,W,3-2,3,2,1.0,win,20160306_oeka,1,0,0,,,,0,,,,,,,1,0,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 6,home,Andrew,L,4-3,4,3,1.0,win,20160306_2p1d,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 11,home,Georgia Highlands,W,5-2,5,2,3.0,win,20160311_bqds,3,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,,0,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 11,home,Georgia Highlands,L,5-0,5,0,5.0,win,20160311_y147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 12,home,Triton,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 12,home,Jefferson (MO),L,13-2,13,2,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 17,home,Southern Union State,L,6-0,6,0,6.0,win,20160317_5pea,3,0,0,,,,0,,,,,,,,0,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 17,home,Southern Union State,W,1-0,1,0,1.0,win,20160317_xo03,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 19,home,Southern Union State,W,12-3,12,3,9.0,win,20160319_u60f,3,2,0,,,,1,2,1,,,,,,0,0,,,,,5,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 19,home,Southern Union State,L,5-3,5,3,2.0,win,20160319_5em1,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 25,home,Calhoun,W,4-0,4,0,4.0,win,20160325_q36f,2,0,1,,,,0,2,,,,,,,1,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 25,home,Calhoun,L,6-0,6,0,6.0,win,20160325_zpz0,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 26,home,Calhoun,L,11-2,11,2,9.0,win,20160326_4mf3,3,1,1,,,,0,,1,,,,,,1,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Mar 26,home,Calhoun,L,2-1,2,1,1.0,win,20160326_21xi,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 3,home,Shelton State,L,14-6,14,6,8.0,win,20160403_h940,2,1,0,,,,0,2,,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 3,home,Shelton State,L,5-4,5,4,1.0,win,20160403_45dh,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 4,home,Shelton State,L,5-3,5,3,2.0,win,20160404_qpbh,4,0,0,,,,0,,1,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 4,home,Shelton State,L,4-1,4,1,3.0,win,20160404_oczt,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 5,home,Wallace-Dothan,L,4-1,4,1,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 7,home,Snead State,W,14-3,14,3,11.0,win,20160407_j583,4,1,3,,1,,3,,,,,,,,5,1,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 7,home,Snead State,L,3-2,3,2,1.0,win,20160407_e9gp,3,0,1,,,,0,1,1,1,,,,,1,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 9,home,Snead State,W,13-5,13,5,8.0,win,20160409_izan,3,2,1,,1,,0,1,,1,,,,,3,1,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 9,home,Snead State,W,3-1,3,1,2.0,win,20160409_x94w,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 13,home,Chattahoochee Valley,L,6-4,6,4,2.0,win,20160413_ck72,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 18,home,Wallace-Dothan,L,8-5,8,5,3.0,win,20160418_q64a,5,1,2,,,,0,,1,,,,,,2,0,,,,,5,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 21,home,Lawson State,L,7-0,7,0,7.0,win,20160421_zxv7,3,0,0,,,,0,1,,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 21,home,Lawson State,W,3-1,3,1,2.0,win,20160421_q9mz,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 23,home,Lawson State,L,6-2,6,2,4.0,win,20160423_adt2,3,0,0,,,,0,1,1,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 23,home,Lawson State,L,6-1,6,1,5.0,win,20160423_8quw,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 29,home,Wallace State,L,14-4,14,4,10.0,win,20160429_6pvl,3,1,0,,,,1,1,,,,,,,0,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 29,home,Wallace State,L,10-8,10,8,2.0,win,20160429_w7zg,4,2,2,,,,2,,,,,,,,2,0,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 30,home,Wallace State,L,10-0,10,0,10.0,win,20160430_bc1d,2,0,1,,,,0,1,,,,,,,1,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
Apr 30,home,Wallace State,W,2-1,2,1,1.0,win,20160430_1joo,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
May 3,home,Coastal Alabama - Brewton,L,8-7,8,7,1.0,win,20160503_4fh6,1,0,0,,,,0,,,,,,,1,0,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
May 5,home,Marion Military,L,6-3,6,3,3.0,win,20160505_azdf,4,0,1,1,,,1,,,,,,,,2,1,,,,,4,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
May 5,home,Marion Military,L,10-0,10,0,10.0,win,20160505_yl2e,3,0,0,,,,0,,,,,,,,0,0,,,,,3,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
May 7,home,Marion Military,L,11-5,11,5,6.0,win,20160507_l9zo,4,0,3,1,,,1,,,,,,1,,4,1,,,,,5,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
May 7,home,Marion Military,L,9-5,9,5,4.0,win,20160507_nono,2,1,1,,,,1,,1,,,,,,1,0,,,,,2,2016,2015-16,div1,Central Alabama,centralalabamacommunitycollege,nathanlangleyv72a,Nathan Langley
