date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 18,home,Roane State,L,6-1,6,1,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Feb 19,home,Roane State,W,9-8,9,8,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Feb 19,home,Roane State,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Feb 20,home,Union College,L,10-6,10,6,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Feb 20,home,Union College,W,2-1,2,1,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Feb 26,home,Vincennes,W,6-1,6,1,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Mar 2,home,DuPage,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Mar 2,home,Suffolk County,W,4-0,4,0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Mar 3,home,USC Salkehatchie,W,4-3,4,3,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Mar 3,home,USC Salkehatchie,W,1-0,1,0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Mar 4,home,PSU Dubois,W,8-4,8,4,4.0,win,20170304_ir9l,0,1,0,,,,0,,,,,,,,0,0,,,,,0,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
Mar 4,home,Chesapeake,W,1-0,1,0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div1,Olney Central,olneycentralcollege,gavinratermanfaav,Gavin Raterman
