date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 29,home,Rhode Island,L,13-3,13,3,10,win,20170329_e9te,3,1,0,,,,0,,1,1,,,,,0,0,,,1,,3,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 2,home,Westchester,L,12-4,12,4,8,win,20170402_8mpt,2,0,0,,,,0,,1,1,,,,,0,0,,,,,2,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 2,home,Westchester,L,10-0,10,0,10,win,20170402_dlv6,2,0,0,,,,0,1,,,,,,,0,0,,2,,,3,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 9,home,Northern Essex,L,10-0,10,0,10,win,20170409_yx4n,2,0,0,,,,0,,1,,,,,,0,0,,,1,,2,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 12,home,Rhode Island,L,11-1,11,1,10,win,20170412_f6jj,1,0,0,,,,1,1,,,,,,,0,0,,1,,,2,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 13,home,Massasoit,L,12-2,12,2,10,win,20170413_2ymw,2,0,0,,,,0,1,,,,1,,,0,0,,1,,,4,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 14,home,UConn Avery Point,L,10-0,10,0,10,win,20170414_bhm5,1,0,0,,,,0,1,1,2,,,,,0,0,,,,,2,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 15,home,Northern Essex,L,23-6,23,6,17,win,20170415_p2c4,3,1,1,,,,0,,,,,,,,1,0,,,2,,3,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 15,home,Northern Essex,L,18-14,18,14,4,win,20170415_wxet,4,0,2,,,,2,,,,,,,,2,0,,2,,,4,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 16,home,Southern Maine Community College,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 16,home,Southern Maine Community College,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
Apr 16,home,Southern Maine Community College,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2017,2016-17,div3,Holyoke,holyokecommunitycollege,jacobwhitacre95h3,Jacob Whitacre
