date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 12,home,Union,L,10-9,10,9,1,win,20180312_qyyj,5,1,1,,,,0,,1,,,,,,1,0,,3,,,5,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 12,home,Northampton,L,14-0,14,0,14,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 13,home,Camden County,L,7-1,7,1,6,win,20180313_2yi4,3,1,1,,,,0,,,,,,,,1,0,,,,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 13,home,Montgomery County,L,9-1,9,1,8,win,20180313_wkr7,4,0,1,,,,1,,1,,,,,,1,0,,1,1,1.00,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 14,home,Bergen,L,7-3,7,3,4,win,20180314_h5ib,3,1,0,,,,0,,1,,,,,,0,0,,,,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 14,home,Northampton,L,20-0,20,0,20,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 15,home,Camden County,W,8-7,8,7,1,win,20180315_48eh,3,2,3,,,,0,1,,,,,,,3,0,,,,,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 27,home,SUNY Broome,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 27,home,SUNY Broome,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 27,home,SUNY Broome,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 27,home,SUNY Broome,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 29,home,Onondaga,L,3-2,3,2,1,win,20180329_n34d,3,0,0,,,,0,,,,,,,,0,0,,,3,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Mar 29,home,Onondaga,L,7-2,7,2,5,win,20180329_lzze,3,1,1,,,,0,,1,,,,,,1,0,,1,,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 3,home,Ithaca JV,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 3,home,Ithaca JV,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 3,home,Ithaca JV,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 3,home,Ithaca JV,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 10,home,Hudson Valley,L,3-2,3,2,1,win,20180410_4x5l,3,0,1,1,,,1,1,1,,,,,,2,1,,,1,,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 10,home,Hudson Valley,L,7-4,7,4,3,win,20180410_vq3b,4,1,1,,,,0,,,,,,,,1,0,,1,1,1.00,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 11,home,Utica College JV,W,7-6,7,6,1,win,20180411_nn9e,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 12,home,Hudson Valley,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 12,home,Hudson Valley,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 12,home,Hudson Valley,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 12,home,Hudson Valley,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 14,home,Herkimer,L,7-4,7,4,3,win,20180414_fdt2,4,1,1,,,,0,,1,,,,,,1,0,,1,,,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 14,home,Herkimer,L,9-2,9,2,7,win,20180414_aq2z,3,0,2,,,,0,,,,,,,,2,0,,,1,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 15,home,Herkimer,,,,,7,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 17,home,Schenectady County,W,14-3,14,3,11,win,20180417_4cch,4,1,3,,,,2,1,,,,,,,3,0,,1,,,5,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 17,home,Schenectady County,W,8-4,8,4,4,win,20180417_7e78,3,1,1,,,,1,2,,,,,,,1,0,,,2,,5,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 19,home,Schenectady County,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 19,home,Schenectady County,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 19,home,Schenectady County,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 19,home,Schenectady County,,,,,4,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 21,home,Columbia-Greene,W,5-2,5,2,3,win,20180421_bthn,4,1,2,,,,1,,,,,,,,2,0,,1,1,1.00,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 21,home,Columbia-Greene,W,13-1,13,1,12,win,20180421_c0gt,4,0,2,,,,1,,,,,,,,2,0,,,2,,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 22,home,Columbia-Greene,W,10-2,10,2,8,win,20180422_ebfm,3,2,2,1,,,1,1,,,,,,,3,1,,1,,,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 22,home,Columbia-Greene,W,14-1,14,1,13,win,20180422_r6bw,2,2,1,,,,2,1,,,,,,,1,0,,,1,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 24,home,SUNY Adirondack,L,6-3,6,3,3,win,20180424_roic,3,0,0,,,,0,1,1,,,,,,0,0,,,2,,4,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 24,home,SUNY Adirondack,L,10-2,10,2,8,win,20180424_9v1x,3,0,2,,,,1,,,,,,,,2,0,,,,,3,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 26,home,SUNY Adirondack,,,,,8,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 26,home,SUNY Adirondack,,,,,8,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
Apr 26,home,SUNY Adirondack,,,,,8,win,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div3,Mohawk Valley,mohawkvalleycommunitycollege,kevinflynngp7m,Kevin Flynn
