date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 16,home,Georgia Highlands,L,5-1,5,1,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 16,home,Georgia Highlands,W,8-3,8,3,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 18,home,Georgia Highlands,L,7-6,7,6,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 18,home,Georgia Highlands,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 24,home,West Georgia Tech,L,5-4,5,4,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 24,home,West Georgia Tech,W,7-1,7,1,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 25,home,West Georgia Tech,W,3-1,3,1,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Feb 25,home,West Georgia Tech,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 1,home,Snead State,L,6-0,6,0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 2,home,Lawson State,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 2,home,Snead State,L,11-1,11,1,10.0,win,20190302_7im5,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 11,home,Wabash Valley,L,4-2,4,2,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 11,home,Wabash Valley,L,10-2,10,2,8.0,win,20190311_bp5w,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 12,home,Wabash Valley,L,7-4,7,4,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 14,home,John A. Logan,L,8-2,8,2,6.0,win,20190314_wyok,1,0,1,,,,0,,,,1,,,,1,0,,,,,1,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 16,home,John A. Logan,W,11-9,11,9,2.0,win,20190316_flps,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 16,home,John A. Logan,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 19,home,Vincennes,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 21,home,Vincennes,L,6-4,6,4,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 23,home,Ivy Tech Fort Wayne,W,8-4,8,4,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 23,home,Ivy Tech Fort Wayne,W,3-0,3,0,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 24,home,Ivy Tech Fort Wayne,W,14-4,14,4,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 24,home,Ivy Tech Fort Wayne,W,8-2,8,2,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
Mar 27,home,Frontier,W,14-10,14,10,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div1,Lincoln Trail,lincolntrailcollege,brycedanielspnd8,Bryce Daniels
