date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 27,home,Neosho County,L,12-5,12,5,7.0,win,20210227_fwp6,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Feb 27,home,Neosho County,L,4-0,4,0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Feb 28,home,Neosho County,L,14-4,14,4,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Feb 28,home,Neosho County,W,11-5,11,5,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Mar 3,home,McCook,L,10-8,10,8,2.0,win,20210303_oxr7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Mar 3,home,Barton,L,10-5,10,5,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Mar 6,home,North Central Missouri,W,5-3,5,3,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Mar 6,home,Northern Oklahoma Enid,L,6-1,6,1,5.0,win,20210306_mdej,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Mar 7,home,Northern Oklahoma Enid,L,4-2,4,2,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Mar 7,home,Northern Oklahoma Enid,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
