date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,home,Galveston,W,7-4,7,4,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Jan 28,home,Galveston,L,6-2,6,2,4,win,20220128_akh8,2,1,1,,,,0,,,,,,,,1,0,,,,,2,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Jan 30,home,Galveston,L,4-3,4,3,1,win,20220130_lvcm,5,1,0,,,,0,,1,,,,,,0,0,,,,,5,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Jan 30,home,Galveston,W,6-5,6,5,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 2,home,Alvin,L,11-8,11,8,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 6,home,Howard (TX),W,10-8,10,8,2,win,20220206_bn17,3,1,1,,,,0,,,,,,,,1,0,,,,,3,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 6,home,Alvin,W,11-9,11,9,2,win,20220206_zjym,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 8,home,Blinn,W,9-5,9,5,4,win,20220208_t1d2,2,0,0,,,,1,2,,,,,1,,0,0,,,,,5,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 11,home,TCS Postgrad,W,10-1,10,1,9,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 11,home,TCS Postgrad,W,6-3,6,3,3,win,20220211_c4lg,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 15,home,Blinn,W,12-2,12,2,10,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 15,home,Blinn,W,6-5,6,5,1,win,20220215_ali9,2,1,1,,,,0,,,,,,,,1,0,,,,,2,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 19,home,Paris,W,10-4,10,4,6,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 19,home,Paris,L,7-6,7,6,1,win,20220219_j7aj,2,0,0,,,,0,1,,,,,,,0,0,,,,,3,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 22,home,Navarro,W,10-9,10,9,1,win,20220222_svv7,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 22,home,Navarro,W,10-9,10,9,1,win,20220222_b3a8,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 27,home,Bossier Parish,L,11-4,11,4,7,win,20220227_s6du,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 27,home,Bossier Parish,L,9-6,9,6,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 28,home,Spartan PostGrad,L,8-7,8,7,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Feb 28,home,Spartan PostGrad,W,15-2,15,2,13,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 2,home,Tyler,L,6-2,6,2,4,win,20220302_rzjd,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 2,home,Tyler,L,12-8,12,8,4,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 5,home,Panola,W,2-1,2,1,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 5,home,Panola,L,14-9,14,9,5,win,20220305_9w9n,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 7,home,Alvin,W,7-6,7,6,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 10,home,Northeast Texas,L,9-6,9,6,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 10,home,Northeast Texas,L,10-9,10,9,1,win,20220310_oa7j,0,1,0,,,,0,3,,,,,,,0,0,,,,,3,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 14,home,Joliet,L,4-2,4,2,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 16,home,Paris,W,8-6,8,6,2,win,20220316_474c,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 16,home,Paris,W,8-5,8,5,3,win,20220316_f3b4,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 19,home,Navarro,L,10-6,10,6,4,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 19,home,Navarro,W,15-5,15,5,10,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 24,home,Bossier Parish,L,7-2,7,2,5,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 24,home,Bossier Parish,L,12-2,12,2,10,win,20220324_u32d,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 26,home,Tyler,L,4-3,4,3,1,win,20220326_9d5n,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 26,home,Tyler,L,12-4,12,4,8,win,20220326_x2nj,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 28,home,Dallas College - Mountain View,W,13-3,13,3,10,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 31,home,Panola,L,4-1,4,1,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Mar 31,home,Panola,W,9-8,9,8,1,win,20220331_oet1,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 2,home,Northeast Texas,W,5-4,5,4,1,win,20220402_1t7d,3,0,2,,,,1,,,,,,,,2,0,,,,,3,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 2,home,Northeast Texas,L,14-10,14,10,4,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 4,home,Temple,L,16-11,16,11,5,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 9,home,Paris,L,14-10,14,10,4,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 9,home,Paris,L,8-4,8,4,4,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 12,home,Navarro,W,2-1,2,1,1,win,20220412_r8uc,0,0,0,,,,0,,,,,,,1,0,0,,,,,1,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 12,home,Navarro,W,5-4,5,4,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 15,home,Bossier Parish,L,7-2,7,2,5,win,20220415_i5n9,2,0,1,1,,,1,,,,,,,,2,1,,,,,2,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
Apr 15,home,Bossier Parish,L,8-7,8,7,1,win,20220415_v90n,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Angelina,angelinacollege,benpenns0mq,Ben Penn
