date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 11,home,Highland (KS),W,4-3,4,3,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 11,home,Highland (KS),W,5-1,5,1,4,win,20220211_mlog,3,0,2,1,,,1,,1,,,,,,3,1,,,,,3,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 12,home,McCook,W,15-5,15,5,10,win,20220212_sl8k,2,1,1,,,,0,,1,1,,,,,1,0,,,,,2,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 13,home,McCook,W,16-6,16,6,10,win,20220213_lirb,1,3,1,,1,,1,1,,,,2,,,3,1,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 18,home,Weatherford,L,8-7,8,7,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 19,home,Weatherford,L,4-3,4,3,1,win,20220219_ej7b,4,1,1,,,,0,,1,,,,,,1,0,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 19,home,Weatherford,L,8-2,8,2,6,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 27,home,Midland,L,4-2,4,2,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 27,home,Midland,W,13-10,13,10,3,win,20220227_8ez3,3,1,0,,,,0,1,,1,,1,,,0,0,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 28,home,Midland,W,6-4,6,4,2,win,20220228_7wc3,2,2,2,,,,0,2,,,,,,,2,0,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Feb 28,home,Midland,W,5-4,5,4,1,win,20220228_gt8p,3,0,0,,,,0,1,1,,,,,,0,0,1,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 4,home,North Central Texas,L,5-4,5,4,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 4,home,North Central Texas,W,10-5,10,5,5,win,20220304_o2br,3,2,1,,,,1,2,1,1,,,,,1,0,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 5,home,North Central Texas,W,5-3,5,3,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 5,home,North Central Texas,L,13-3,13,3,10,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 12,home,Seward County,W,10-3,10,3,7,win,20220312_htr1,1,1,0,,,,0,,1,,,1,,,0,0,,,,,2,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 12,home,Seward County,W,5-2,5,2,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 13,home,Seward County,W,10-9,10,9,1,win,20220313_9lqj,5,2,4,1,,,2,,,1,,,,,5,1,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 13,home,Seward County,W,15-5,15,5,10,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 18,home,Barton,W,6-5,6,5,1,win,20220318_zc9k,4,0,1,,,,1,,,,,,,,1,0,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 18,home,Barton,L,3-2,3,2,1,win,20220318_wl28,3,0,2,,,,0,1,1,1,,,,,2,0,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 19,home,Barton,L,9-1,9,1,8,win,20220319_aglj,3,0,0,,,,0,,2,,,,,,0,0,,,,,3,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 19,home,Barton,L,24-3,24,3,21,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 25,home,Cloud County,L,3-1,3,1,2,win,20220325_lj8s,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 25,home,Cloud County,L,10-8,10,8,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 26,home,Cloud County,L,12-9,12,9,3,win,20220326_3ctc,4,0,3,,,,0,,1,,,,,,3,0,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Mar 26,home,Cloud County,L,13-9,13,9,4,win,20220326_udwi,4,1,1,,,1,2,,1,,,,1,,4,1,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
