date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 9,home,Cisco,L,4-3,4,3,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 9,home,Cisco,W,5-2,5,2,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 16,home,Grayson,L,16-4,16,4,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 16,home,Grayson,L,16-4,16,4,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 16,home,Grayson,L,16-4,16,4,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 16,home,Grayson,L,16-4,16,4,12.0,win,,,,,,,,,,,,,12.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 26,home,Ranger,L,9-8,9,8,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 26,home,Ranger,L,11-8,11,8,3.0,win,20220326_k587,0,0,0,,,,0,,,,,3.0,win,20220326_k587,,,,0,0,,,,,0,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 30,home,Hill,W,8-3,8,3,5.0,win,20220330_xv1j,0,0,0,,,,0,,,,,5.0,win,20220330_xv1j,,,,0,0,,,,,0,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Mar 30,home,Hill,L,7-0,7,0,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 9,home,McLennan,L,25-0,25,0,25.0,win,20220409_djnz,1,0,0,,,,0,,,,,25.0,win,20220409_djnz,,,,0,0,,,,,1,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 9,home,McLennan,L,34-9,34,9,25.0,win,20220409_4ifp,0,0,0,,,,0,,,,,25.0,win,20220409_4ifp,,,,0,0,,,,,0,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 15,home,Weatherford,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 15,home,Weatherford,W,13-9,13,9,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 20,home,TCS,L,6-5,6,5,1.0,win,20220420_ilpt,0,0,0,,,,0,,,,,1.0,win,20220420_ilpt,,,,0,0,,,,,0,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 20,home,TCS,W,4-3,4,3,1.0,win,20220420_0ifr,3,0,1,,,,0,,1,,,1.0,win,20220420_0ifr,,,,1,0,,,,,3,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 25,home,Western Oklahoma State,L,7-6,7,6,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 30,home,North Central Texas,L,16-3,16,3,13.0,win,,,,,,,,,,,,,13.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
Apr 30,home,North Central Texas,L,7-6,7,6,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
May 7,home,Temple,L,10-3,10,3,7.0,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
May 7,home,Temple,L,13-3,13,3,10.0,win,20220507_g6sa,0,0,0,,,,0,,,,,10.0,win,20220507_g6sa,,,,0,0,,,,,0,2022,2021-22,div1,Vernon,vernoncollege,ryanavalosevu7,Ryan Avalos
