date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,home,Texas Post Grad,W,16-4,16,4,12,win,20230128_vn4b,4,4,4,,1,1,2,,,,,,,,9,2,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Jan 28,home,Texas Post Grad,W,9-1,9,1,8,win,20230128_75tl,2,1,1,1,,,0,1,,,,,,,2,1,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 4,home,Seminole State (OK),W,10-6,10,6,4,win,20230204_uc7h,1,1,0,,,,1,2,,,,,,1,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 6,home,McCook,W,9-3,9,3,6,win,20230206_gdaa,3,1,1,,,,1,,1,,,,,,1,0,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 13,home,Dallas College - Richland,W,20-10,20,10,10,win,20230213_xjxy,3,2,2,,,,0,2,,,1,,,,2,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 13,home,Dallas College - Richland,W,16-14,16,14,2,win,20230213_nm8b,4,2,1,,,,1,1,2,,,,,,1,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 17,home,North Central Missouri,W,1-0,1,0,1,win,20230217_7lf6,2,0,0,,,,1,,,,,,,,0,0,,,,,2,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 17,home,North Central Missouri,W,15-5,15,5,10,win,20230217_kldf,4,2,2,1,,,2,1,,,,,,,3,1,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 18,home,North Central Missouri,W,14-4,14,4,10,win,20230218_4gwv,2,0,2,1,,,1,,,,,,1,,3,1,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 18,home,North Central Missouri,W,13-2,13,2,11,win,20230218_0g7m,2,2,2,,,1,4,1,,,,,,,5,1,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 22,home,Kellogg,W,10-2,10,2,8,win,20230222_vg94,4,2,2,1,,,1,,,,,,,,3,1,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 26,home,North Central Texas,W,15-3,15,3,12,win,20230226_3sg0,4,1,2,1,,,1,1,1,,,,,,3,1,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 26,home,North Central Texas,W,4-1,4,1,3,win,20230226_o13k,4,0,3,,,,1,,,3,,,,,3,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Feb 27,home,Dallas College - Richland,W,10-8,10,8,2,win,20230227_td4p,4,1,2,,,,1,,,,,,1,,2,0,,,,,5,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 4,home,East Central (MS),W,9-8,9,8,1,win,20230304_war7,4,1,2,,,,0,,1,,1,,,,2,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 11,home,Northern Oklahoma Tonkawa,W,10-1,10,1,9,win,20230311_ok1m,4,1,4,1,,,1,,,1,1,,,,5,1,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 11,home,Northern Oklahoma Tonkawa,W,9-8,9,8,1,win,20230311_707w,4,3,3,,,,0,,,,,,,,3,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 17,home,SAU Tech,W,11-9,11,9,2,win,20230317_3cgi,4,2,2,,,,0,,,,,,,,2,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 18,home,SAU Tech,W,17-0,17,0,17,win,20230318_sq4f,2,1,1,,,,1,,,,,1,,,1,0,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 18,home,SAU Tech,W,5-3,5,3,2,win,20230318_0tdv,4,0,0,,,,0,,1,,,,,,0,0,,,,,4,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
Mar 23,home,National Park,W,6-4,6,4,2,win,20230323_gub0,2,0,0,,,,0,,,,,,,1,0,0,,,,,3,2023,2022-23,div2,Murray State,murraystatecollege,bradybenedictsi9a,Brady Benedict
