date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 10,home,Jackson State,W,8-7,8,7,1,win,20230210_dn70,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Feb 18,home,Kirkwood,W,8-7,8,7,1,win,20230218_nwe1,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Feb 25,home,Bevill State,W,13-4,13,4,9,win,20230225_jb70,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Mar 7,home,Coahoma,W,16-2,16,2,14,win,20230307_ttou,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Mar 25,home,Northwest Mississippi,W,4-2,4,2,2,win,20230325_kl7e,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Mar 29,home,Copiah-Lincoln,W,4-3,4,3,1,win,20230329_xlz7,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Apr 1,home,Northeast Mississippi,W,19-10,19,10,9,win,20230401_4zaz,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Apr 6,home,Mississippi Delta,W,14-3,14,3,11,win,20230406_zwk9,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Apr 12,home,Jones,W,8-3,8,3,5,win,20230412_6dkk,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Apr 16,home,Itawamba,W,11-9,11,9,2,win,20230416_8k21,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
Apr 22,home,Holmes,W,11-1,11,1,10,win,20230422_4ut2,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div2,East Central (MS),eastcentralcommunitycollege,luiscanoljeq,Luis Cano
