date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 1,home,Sauk Valley,W,5-2,5,2,3,win,20230301_ixgo,4,0,1,,,,1,,,,,,,,1,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Mar 13,home,Minnesota State,W,11-1,11,1,10,win,20230313_kvhs,3,1,1,,,,2,1,,1,,,,,1,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Mar 16,home,Columbia-Greene,W,10-0,10,0,10,win,20230316_5dos,2,2,0,,,,0,2,,,1,,,,0,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Mar 16,home,Columbia-Greene,W,13-3,13,3,10,win,20230316_rsri,2,1,0,,,,0,1,1,,,1,,,0,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Mar 28,home,DuPage,W,12-11,12,11,1,win,20230328_loc6,5,1,2,,,1,5,,1,1,,,,,5,1,,,,,5,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Apr 3,home,Elgin,W,5-3,5,3,2,win,20230403_oegi,2,0,1,,,,1,1,,,,,1,,1,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Apr 6,home,Olive-Harvey,W,6-2,6,2,4,win,20230406_8ukn,4,0,0,,,,0,,,,,,,,0,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Apr 6,home,Olive-Harvey,W,4-3,4,3,1,win,20230406_seh1,3,0,1,,,,1,1,,1,,,,,1,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Apr 14,home,Kankakee,W,5-4,5,4,1,win,20230414_46jt,4,1,2,1,,,2,,1,,,,,,3,1,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
Apr 25,home,Olive-Harvey,W,7-1,7,1,6,win,20230425_0n8w,3,2,1,,,,0,1,1,,,,,,1,0,,,,,4,2023,2022-23,div2,Prairie State,prairiestatecollege,luiscivicowml1,Luis Civico
