date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 19,home,Olney Central,W,2-1,2,1,1,win,20230219_22is,5,0,1,,,,0,,1,,,,,,1,0,,,,,5,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Feb 28,home,Edison State,W,11-1,11,1,10,win,20230228_4e2u,3,1,1,,,,2,1,,,,,,,1,0,,,,,4,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 1,home,Edison State,W,21-6,21,6,15,win,20230301_ktfa,2,3,0,,,,0,1,,,,1,,1,0,0,,,,,5,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 6,home,Anderson University,W,9-7,9,7,2,win,20230306_y7bg,2,0,0,,,,1,1,,,,1,,1,0,0,,,,,5,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 10,home,Southeastern Illinois,W,11-5,11,5,6,win,20230310_c49l,5,0,3,1,,,2,,1,1,,,,,4,1,,,,,5,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 10,home,Southeastern Illinois,W,6-1,6,1,5,win,20230310_lt49,4,0,0,,,,0,1,1,,,1,,,0,0,,,,,6,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 15,home,Glen Oaks,W,15-9,15,9,6,win,20230315_x37t,5,1,0,,,,0,,,,,,,,0,0,,,,,5,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 20,home,Muskegon,W,8-5,8,5,3,win,20230320_bd4d,2,1,0,,,,1,1,1,,,,,,0,0,,,,,3,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 21,home,Lakeland,W,11-1,11,1,10,win,20230321_ys22,2,1,1,,,,1,1,,2,,,,,1,0,,,,,3,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 21,home,Lakeland,W,17-2,17,2,15,win,20230321_jb9o,3,2,1,1,,,2,1,,,,,,,2,1,,,,,4,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 24,home,Trine University,W,4-3,4,3,1,win,20230324_1i7u,3,0,0,,,,0,,,,,1,,,0,0,,,,,4,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
Mar 26,home,Cuyahoga,W,5-4,5,4,1,win,20230326_hrrq,3,0,0,,,,0,,,,,,,,0,0,,,,,3,2023,2022-23,div2,Ivy Tech Fort Wayne,ivytechcommunitycollegenortheast,tarronwhitejsvh,Tarron White
