date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,Chattahoochee Valley,W,12-2,12,2,10,win,20240130_id3t,3,1,1,,,1,4,1,1,,,,,,4,1,,,,,4,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Feb 3,home,Tallahassee,W,8-1,8,1,7,win,20240203_ypqp,3,0,1,1,,,0,1,,,,,,,2,1,,,,,4,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Feb 7,home,Cleveland State,W,13-0,13,0,13,win,20240207_j76r,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Feb 14,home,Brewton Parker JV,W,6-1,6,1,5,win,20240214_kg84,4,0,2,,,,0,,2,,1,,,,2,0,,,,,4,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Feb 18,home,Chattanooga State,W,9-7,9,7,2,win,20240218_gp8l,3,1,2,,,,1,,,,,,1,,2,0,,,,,4,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Feb 19,home,Point JV,W,10-4,10,4,6,win,20240219_can1,2,1,0,,,,0,2,1,,,,,,0,0,,,,,4,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Feb 27,home,Central Alabama,W,12-5,12,5,7,win,20240227_d9oq,2,0,1,,,,1,1,,,,,,,1,0,,,,,3,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Mar 4,home,Central Alabama,W,9-0,9,0,9,win,20240304_of9i,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Mar 11,home,Point JV,W,9-3,9,3,6,win,20240311_mxou,3,2,2,,,,2,,1,,,1,,,2,0,,,,,4,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
Mar 19,home,East Georgia State,W,17-1,17,1,16,win,20240319_s9p3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,1,2024,2023-24,div1,Gordon State,gordonstatecollege,casualkay8j2h,Casual Kay
