date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 3,home,Northwest-Shoals Community College,W,9-2,9,2,7,win,20240203_5716,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Mar 3,home,Glen Oaks,W,13-3,13,3,10,win,20240303_y6r1,3,1,1,,,,0,1,1,,,,,,1,0,,1,,,4,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Mar 10,home,Southeastern Illinois,W,8-3,8,3,5,win,20240310_ylpx,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,0,,,5,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Mar 26,home,Lake Land,W,30-27,30,27,3,win,20240326_c1tg,6,3,2,,,,2,2,1,,,2,,,2,0,,,,,10,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Mar 28,home,Shawnee,W,15-7,15,7,8,win,20240328_y65v,3,2,1,,,1,1,1,1,,,1,,,4,1,,1,,,5,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Mar 29,home,Shawnee,W,16-13,16,13,3,win,20240329_lg2j,3,1,1,1,,,2,2,,,,,,,2,1,,,2,,5,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Apr 6,home,Frontier,W,7-2,7,2,5,win,20240406_3do0,3,0,0,,,,0,,1,,,,,,0,0,,,2,,3,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Apr 13,home,Olney Central,W,4-3,4,3,1,win,20240413_jgjf,3,0,1,,,,0,,,,,,,,1,0,,,2,,3,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Apr 23,home,Wabash Valley,W,12-11,12,11,1,win,20240423_y883,3,0,0,,,,0,1,,,,,,,0,0,,,3,,4,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
Apr 25,home,Vincennes,W,6-5,6,5,1,win,20240425_7h93,3,1,2,2,,,2,,1,,,,1,,4,2,,,,,4,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
May 9,home,Wabash Valley,W,13-6,13,6,7,win,20240509_4ggc,4,2,2,1,,1,2,1,2,,,,,,6,2,,,,,5,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
May 10,home,Frontier,W,5-4,5,4,1,win,20240510_jq1z,4,0,1,,,,0,,1,,,,,,1,0,,1,1,1.00,4,2024,2023-24,div1,Lincoln Trail,lincolntrailcollege,curtusmoakjr9eri,Curtus Moak JR
