date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 26,home,Arizona Christian University,W,11-1,11,1,10,win,20240126_df24,1,2,1,,,,0,2,,1,,,,,1,0,,,,,3,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Jan 27,home,Arizona Christian University,W,6-3,6,3,3,win,20240127_y1sh,3,0,0,,,,0,,,,,,,,0,0,,,,,3,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Jan 31,home,Park University,W,10-0,10,0,10,win,20240131_ds3l,5,2,1,,1,,1,,,,,,,,3,1,,,,,5,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 3,home,Grand Canyon University Club,W,5-4,5,4,1,win,20240203_q2av,5,0,1,,,,2,,,1,,,,,1,0,,,,,5,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 14,home,Glendale,W,11-1,11,1,10,win,20240214_8tfs,4,3,1,,,,1,1,,,,,,,1,0,,1,1,1.00,5,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 16,home,Chandler-Gilbert,W,7-3,7,3,4,win,20240216_6erp,5,1,2,,,,0,,,,,,,,2,0,,,,,5,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 17,home,Chandler-Gilbert,W,6-5,6,5,1,win,20240217_oa2r,7,1,1,,,,0,,2,1,,,,,1,0,,,,,7,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 18,home,Thompson River,W,5-4,5,4,1,win,20240218_hd2c,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 20,home,Phoenix,W,10-6,10,6,4,win,20240220_rwx8,5,1,2,,,,0,1,,,,,,,2,0,,,,,6,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 21,home,Phoenix,W,6-4,6,4,2,win,20240221_j99e,5,1,1,,,,0,,1,2,,,,,1,0,,,,,5,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 24,home,Arizona Christian University,W,3-2,3,2,1,win,20240224_rriv,3,1,0,,,,0,1,,,,,,,0,0,,,,,4,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Feb 27,home,GateWay (AZ),W,11-9,11,9,2,win,20240227_xj9b,3,1,1,,,,1,3,,1,,,,,1,0,,,,,6,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Mar 2,home,Scottsdale,W,3-1,3,1,2,win,20240302_6f3p,3,1,2,,,,0,,,,,1,,1,2,0,,,,,5,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
Mar 12,home,Paradise Valley,W,3-1,3,1,2,win,20240312_6mb6,4,0,1,,,,0,,1,1,,,,,1,0,,,,,4,2024,2023-24,div2,Mesa,mesacommunitycollege,jaydenisrael7xdw,Jayden Israel
