date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 9,home,Alexandria Tech,W,5-4,5,4,1,win,20240309_m7a0,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Mar 13,home,SUNY Adirondack,W,8-5,8,5,3,win,20240313_pcct,4,2,2,,,2,2,,,,,,,,8,2,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Mar 14,home,SUNY Niagara,W,10-3,10,3,7,win,20240314_u1el,4,2,3,1,,,2,,,,,,,,4,1,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Mar 29,home,Roxbury,W,7-1,7,1,6,win,20240329_j626,4,0,1,,,,3,2,,,,,,,1,0,,,,,6,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Mar 30,home,Roxbury,W,18-1,18,1,17,win,20240330_gfku,2,3,1,,,,0,2,,2,,,,,1,0,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Mar 30,home,Roxbury,W,16-6,16,6,10,win,20240330_lhbj,4,2,3,1,,,2,,,,,,,,4,1,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 8,home,Holyoke,W,17-0,17,0,17,win,20240408_g9i6,3,2,1,,,,0,1,1,2,,,,,1,0,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 8,home,Holyoke,W,27-1,27,1,26,win,20240408_iznl,4,4,3,,,,3,1,,,,,,,3,0,,,,,5,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 9,home,Quincy College,W,14-1,14,1,13,win,20240409_5qyx,3,1,0,,,,0,1,,,,,,,0,0,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 11,home,Bunker Hill,W,11-2,11,2,9,win,20240411_at20,5,2,2,,,,1,1,1,2,,,,,2,0,,,,,6,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 13,home,Bunker Hill,W,11-0,11,0,11,win,20240413_7qj8,3,2,3,,,,1,,,1,,,,,3,0,,,,,3,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 15,home,Holyoke,W,11-1,11,1,10,win,20240415_zvu6,4,0,2,1,,,1,,,,,,,,3,1,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 16,home,Quincy College,W,11-1,11,1,10,win,20240416_ao5w,3,2,2,,,,0,,,,,1,,,2,0,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 20,home,Rhode Island,W,9-1,9,1,8,win,20240420_siah,3,2,1,,,,0,1,,2,,,,,1,0,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
Apr 21,home,Rhode Island,W,4-0,4,0,4,win,20240421_xiyn,3,0,1,1,,,3,,2,,,,1,,2,1,,,,,4,2024,2023-24,div3,Northern Essex,northernessexcommunitycollege,manielcastrord9n,Maniel Castro
