date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 17,home,Kankakee,W,3-0,3,0,3.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 17,home,Kankakee,L,2-0,2,0,2.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 22,home,Pasco-Hernando State,L,10-2,10,2,8.0,win,20130322_rk14,0,0,0,0,0.2,1,4,0,0.00,1,0,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 23,home,Elgin,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 25,home,Southeast,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 25,home,Southeast,L,4-3,4,3,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 26,home,Elgin,W,9-8,9,8,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 26,home,Elgin,L,8-7,8,7,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 27,home,Prairie State,W,18-7,18,7,11.0,win,20130327_8vp0,1,1,0,0,5.1,4,6,4,6.75,2,2,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Mar 29,home,University of Tampa JV,W,14-8,14,8,6.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 2,home,Harper,W,5-2,5,2,3.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 2,home,Harper,L,9-8,9,8,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 4,home,Highland Community College (IL),W,18-5,18,5,13.0,win,20130404_dewt,1,1,0,0,6.0,5,5,0,0.00,3,1,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 4,home,Highland Community College (IL),W,13-0,13,0,13.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 6,home,Triton,W,5-4,5,4,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 6,home,Triton,W,11-1,11,1,10.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 7,home,Black Hawk-Moline,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 7,home,Black Hawk-Moline,L,5-2,5,2,3.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 13,home,Joliet,W,12-2,12,2,10.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
Apr 13,home,Joliet,W,2-1,2,1,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Madison,madisoncollege,calenrohrman0ty0,Calen Rohrman
