date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 22,home,NC Wesleyan (JV),,,,,2.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Feb 24,home,Montigny CC,W,20-0,20,0,20.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Feb 24,home,Montigny CC,W,14-1,14,1,13.0,win,20130224_n5vl,1,1,0,0,2.0,,,,0.00,,5,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Feb 26,home,Quebec,W,15-0,15,0,15.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Feb 27,home,Flagler College JV,W,10-3,10,3,7.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Feb 27,home,Flagler College JV,W,2-1,2,1,1.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Feb 28,home,Daytona State,L,10-0,10,0,10.0,win,20130228_e5ph,1,0,1,0,3.0,2,2,2,6.00,3,3,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 1,home,IP Academy,W,21-2,21,2,19.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 2,home,IP Academy,W,6-0,6,0,6.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 2,home,University of Mary,L,11-6,11,6,5.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 8,home,Genesee,,,,,5.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 10,home,Jefferson (NY),W,4-2,4,2,2.0,win,20130310_092i,0,1,0,0,4.2,2,2,2,3.86,2,4,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 10,home,Jefferson (NY),W,8-6,8,6,2.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 15,home,CCBC Essex,W,11-2,11,2,9.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 15,home,CCBC Essex,W,4-3,4,3,1.0,win,20130315_hh7f,1,1,0,0,6.1,3,3,3,4.26,3,5,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
Mar 17,home,Nassau,W,8-2,8,2,6.0,win,,,,,,,,,,,,,2013,2012-13,div2,Frederick,frederickcommunitycollege,rjsmith8i35,RJ Smith
