date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 31,home,Vernon,W,17-1,17,1,16.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Jan 31,home,Alvin,W,5-0,5,0,5.0,win,20140131_odtg,0,1,0,0,6.0,1,,,0.00,1,3,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 8,home,McLennan,L,1-0,1,0,1.0,win,20140208_8ff5,0,0,0,0,0.0,,,,0.00,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 8,home,McLennan,L,4-3,4,3,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 12,home,Alvin,W,7-5,7,5,2.0,win,20140212_djqy,1,0,0,0,5.0,8,4,2,3.60,,3,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 12,home,Alvin,L,12-1,12,1,11.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 15,home,Wharton County,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 15,home,Wharton County,L,5-4,5,4,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 19,home,Temple,W,1-0,1,0,1.0,win,20140219_abtk,1,1,0,0,7.0,2,,,0.00,1,9,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 19,home,Temple,L,4-0,4,0,4.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 22,home,McLennan,L,5-2,5,2,3.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 22,home,McLennan,W,3-1,3,1,2.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Feb 28,home,Bossier Parish,L,5-4,5,4,1.0,win,20140228_nx0j,1,0,0,0,6.0,8,4,4,6.00,2,5,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 1,home,Bossier Parish,W,1-0,1,0,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 1,home,Bossier Parish,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 6,home,Navarro,W,5-1,5,1,4.0,win,20140306_15dq,1,1,0,0,7.0,4,,,0.00,3,5,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 7,home,Navarro,L,2-1,2,1,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 7,home,Navarro,L,17-2,17,2,15.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 10,home,Tyler,L,5-4,5,4,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 10,home,Tyler,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 14,home,Paris,L,5-4,5,4,1.0,win,20140314_t3in,1,0,0,0,9.0,11,4,3,3.00,,3,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 15,home,Paris,L,12-2,12,2,10.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 15,home,Paris,L,4-3,4,3,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 17,home,Blinn,,,,,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 20,home,Panola,W,13-8,13,8,5.0,win,20140320_ictg,1,1,0,0,6.0,3,,,0.00,,5,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 21,home,Panola,L,4-2,4,2,2.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 21,home,Panola,L,6-1,6,1,5.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 24,home,Wharton County,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 24,home,Wharton County,L,4-2,4,2,2.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 28,home,Northeast Texas,W,1-0,1,0,1.0,win,20140328_sdma,1,1,0,0,9.0,8,,,0.00,,6,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 29,home,Northeast Texas,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
Mar 29,home,Northeast Texas,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2014,2013-14,div1,Angelina,angelinacollege,garrettcooper9spy,Garrett Cooper
