date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 14,away,Florence-Darlington Tech,L,5-1,5,1,4.0,win,20150214_1ko7,0,0,0,0,2.0,3,3,2,9.00,,1,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 14,home,vs. USC Sumter,W,5-1,5,1,4.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 15,home,vs. USC Sumter,L,4-3,4,3,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 15,away,Florence-Darlington Tech,,,,,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 21,away,Florence-Darlington Tech,W,4-0,4,0,4.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 21,home,vs. Patrick & Henry,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 22,home,vs. USC Lancaster,L,3-0,3,0,3.0,win,20150222_82iu,0,0,0,0,1.2,3,,,0.00,,2,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Feb 22,home,vs. Brunswick,W,5-4,5,4,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 8,away,Surry,W,2-0,2,0,2.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 8,away,Surry,W,6-3,6,3,3.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 11,home,Garrett,W,10-5,10,5,5.0,win,20150311_dkcg,0,0,0,0,1.1,3,3,3,20.25,3,1,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 15,home,St. Clair County,W,7-6,7,6,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 15,home,St. Clair County,L,10-3,10,3,7.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 18,away,Hagerstown,W,7-0,7,0,7.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 21,home,Mercyhurst North East,W,16-6,16,6,10.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 22,home,Mercyhurst North East,L,3-0,3,0,3.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 22,home,Mercyhurst North East,W,9-7,9,7,2.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 25,away,Chesapeake,W,12-1,12,1,11.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 28,away,Shenandoah University JV,W,7-3,7,3,4.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 28,away,Shenandoah University JV,W,7-2,7,2,5.0,win,20150328_swmj,0,0,0,0,1.0,,,,0.00,1,1,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 29,away,Cecil,L,6-2,6,2,4.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Mar 29,away,Cecil,W,5-3,5,3,2.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Apr 2,home,Cecil,W,5-2,5,2,3.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Apr 2,home,Cecil,W,7-6,7,6,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
Apr 6,away,Garrett,L,5-4,5,4,1.0,win,,,,,,,,,,,,,2015,2014-15,div1,Potomac State,potomacstatecollegeofwvu,chrisschleuss1bdm,Chris Schleuss
