date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 10,home,Bismarck State,L,10-6,10,6,4.0,win,20150310_mvy9,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Mar 10,home,Bismarck State,W,9-8,9,8,1.0,win,20150310_oov3,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Mar 28,home,Dawson,L,3-1,3,1,2.0,win,20150328_eln5,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Mar 28,home,Williston State,L,15-1,15,1,14.0,win,20150328_3ebi,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Mar 29,home,Williston State,L,8-2,8,2,6.0,win,20150329_062e,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Mar 29,home,Dawson,L,15-2,15,2,13.0,win,20150329_p69s,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 3,home,Williston State,L,8-1,8,1,7.0,win,20150403_81dl,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 3,home,Williston State,L,12-2,12,2,10.0,win,20150403_jc25,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 4,home,Williston State,L,16-1,16,1,15.0,win,20150404_qii5,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 4,home,Williston State,L,13-1,13,1,12.0,win,20150404_uqp0,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 11,home,Dawson,L,2-0,2,0,2.0,win,20150411_f0me,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 11,home,Dawson,L,14-12,14,12,2.0,win,20150411_ffl4,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 12,home,Dawson,L,7-2,7,2,5.0,win,,,,,,,,,,,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 12,home,Dawson,L,17-3,17,3,14.0,win,20150412_nk5h,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 14,home,Lake Region State,L,8-5,8,5,3.0,win,20150414_tyl0,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 14,home,Lake Region State,L,5-4,5,4,1.0,win,20150414_uz8i,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 15,home,Lake Region State,W,10-4,10,4,6.0,win,20150415_uozw,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 15,home,Lake Region State,W,20-5,20,5,15.0,win,20150415_irfb,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 18,home,Bismarck State,L,9-1,9,1,8.0,win,,,,,,,,,,,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 18,home,Bismarck State,L,15-8,15,8,7.0,win,20150418_860k,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 19,home,Bismarck State,L,7-0,7,0,7.0,win,20150419_qvkj,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 19,home,Bismarck State,L,13-1,13,1,12.0,win,20150419_vtjh,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 22,home,Lake Region State,L,10-9,10,9,1.0,win,20150422_qi2c,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 22,home,Lake Region State,L,10-6,10,6,4.0,win,,,,,,,,,,,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 29,home,Lake Region State,L,13-3,13,3,10.0,win,20150429_5ueb,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
Apr 29,home,Lake Region State,L,10-5,10,5,5.0,win,20150429_ps09,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,div2,Dakota,dakotacollegeatbottineau,kraekelsoba05,Krae Kelso
