date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 16  #,home,Warner University,W,18-4,18,4,14.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Jan 18  #,home,Webber International University,W,12-2,12,2,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Jan 27,home,Lake-Sumter State,W,4-3,4,3,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Jan 28,home,Eastern Florida State,W,5-2,5,2,3.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Jan 30,home,Webber International University JV,W,11-2,11,2,9.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Jan 31,home,Indian River State,W,13-4,13,4,9.0,win,20170131_phi7,1,1,0,0,4.0,3,1,1,2.25,0,4,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 1,home,Florida Southern College JV,W,6-4,6,4,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 3,home,Daytona State,L,6-5,6,5,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 4,home,Daytona State,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 6,home,Seminole State (FL),W,6-2,6,2,4.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 7,home,St. Johns River State,L,7-6,7,6,1.0,win,20170207_eco1,1,0,0,0,4.2,5,4,0,0.00,1,3,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 8,home,Seminole State (FL),W,13-5,13,5,8.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 10,home,Palm Beach State,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 11,home,University of Tampa JV,W,12-6,12,6,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 13,home,Santa Fe,W,17-7,17,7,10.0,win,20170213_2yz6,0,0,0,0,1.0,2,2,,0.00,,2,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 15,home,St. Johns River State,W,12-3,12,3,9.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 17,home,Palm Beach State,L,6-4,6,4,2.0,win,20170217_uj1m,1,0,1,0,5.0,4,4,1,1.80,2,4,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 18,home,Pasco-Hernando State,W,16-2,16,2,14.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 20,home,Santa Fe,L,4-2,4,2,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 21,home,Eastern Florida State,L,3-1,3,1,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 23,home,Lake-Sumter State,W,5-4,5,4,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 24,home,Webber International University JV,W,10-0,10,0,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Feb 25,home,Indian River State,W,12-4,12,4,8.0,win,20170225_ya7o,1,0,0,0,3.0,4,3,2,6.00,1,2,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 1,home,St. Petersburg,W,12-6,12,6,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 3,home,St. Petersburg,W,10-0,10,0,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 4,home,St. Petersburg,W,6-3,6,3,3.0,win,20170304_sygz,0,0,0,0,1.0,1,2,,0.00,2,2,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 6,home,Hillsborough,L,4-2,4,2,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 8,home,Hillsborough,L,6-5,6,5,1.0,win,20170308_n8kx,0,0,0,0,0.0,2,3,,0.00,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 10,home,Hillsborough,W,8-7,8,7,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 11,home,Florida SouthWestern State,W,5-4,5,4,1.0,win,20170311_7y21,0,0,0,0,2.2,2,,,0.00,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 13,home,Florida SouthWestern State,W,7-2,7,2,5.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 15,home,Florida SouthWestern State,W,7-3,7,3,4.0,win,20170315_piwg,0,1,0,0,4.2,5,1,1,1.93,,4,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 17,home,South Florida State,L,8-6,8,6,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 18,home,South Florida State,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 20,home,South Florida State,W,19-0,19,0,19.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 22,home,State College of Florida,W,4-0,4,0,4.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 24,home,State College of Florida,W,9-3,9,3,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 25,home,State College of Florida,L,11-4,11,4,7.0,win,20170325_wsmg,0,0,1,0,1.0,3,1,1,9.00,,1,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 27,home,St. Petersburg,W,10-5,10,5,5.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 29,home,St. Petersburg,W,14-3,14,3,11.0,win,20170329_kag4,0,0,0,0,2.0,3,,,0.00,,2,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Mar 31,home,St. Petersburg,W,14-4,14,4,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 1,home,Hillsborough,L,15-5,15,5,10.0,win,20170401_s05c,0,0,0,0,1.0,5,6,6,54.00,1,1,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 3,home,Hillsborough,W,15-5,15,5,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 5,home,Hillsborough,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 7,home,Florida SouthWestern State,W,7-1,7,1,6.0,win,20170407_kbta,0,0,0,0,1.0,1,,,0.00,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 8,home,Florida SouthWestern State,W,12-2,12,2,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 10,home,Florida SouthWestern State,W,2-0,2,0,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 12,home,South Florida State,W,5-1,5,1,4.0,win,20170412_gb08,0,0,0,0,1.1,1,1,1,6.75,,1,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 13,home,South Florida State,W,10-0,10,0,10.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 15,home,South Florida State,W,5-2,5,2,3.0,win,20170415_hwaa,1,1,0,0,5.1,6,2,2,3.38,0,3,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 17,home,State College of Florida,W,8-0,8,0,8.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 19,home,State College of Florida,W,2-0,2,0,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
Apr 21,home,State College of Florida,L,4-3,4,3,1.0,win,20170421_hvos,1,0,0,0,4.2,5,2,1,1.93,1,1,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
May 5,home,Palm Beach State,L,5-4,5,4,1.0,win,20170505_avac,0,0,0,0,2.0,2,,,0.00,,1,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
May 6,home,Eastern Florida State,W,8-4,8,4,4.0,win,,,,,,,,,,,,,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
May 7,home,State College of Florida,L,5-2,5,2,3.0,win,20170507_tb27,0,0,0,0,1.0,4,1,1,9.00,,1,2017,2016-17,div1,Polk State,polkstatecollege,chadtworekkslx,Chad Tworek
