date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 27,home,Daytona State,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Jan 28,home,Daytona State,L,5-1,5,1,4.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 3,home,State College of Florida,L,10-2,10,2,8.0,win,20170203_pn71,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 4,home,State College of Florida,L,5-3,5,3,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 4,home,State College of Florida,L,3-1,3,1,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 6,home,South Georgia State,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 6,home,South Georgia State,L,7-3,7,3,4.0,win,20170206_rcdy,0,0,0,0,1.0,1,,,0.00,,1,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 8,home,Tallahassee,,,,,4.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 9,home,Eastern Florida State,L,6-3,6,3,3.0,win,20170209_1l0g,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 11,home,Pensacola State,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 11,home,Pensacola State,W,7-5,7,5,2.0,win,20170211_2xsl,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 14,home,Tallahassee,L,8-2,8,2,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 15,home,Thomas University JV,W,5-4,5,4,1.0,win,20170215_kwpx,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 15,home,Thomas University JV,W,7-0,7,0,7.0,win,20170215_8tht,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 18,home,Palm Beach State,L,4-1,4,1,3.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 18,home,Palm Beach State,L,8-5,8,5,3.0,win,20170218_d942,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
Feb 20,home,East Georgia State,W,8-4,8,4,4.0,win,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,gavinoliverulkl,Gavin Oliver
