date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 27,home,Galveston,W,10-8,10,8,2,win,20170127_8s7f,0,0,0,1,0.2,,,,0.00,,,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Feb 3,home,Blinn,W,9-7,9,7,2,win,20170203_1hs6,0,1,0,0,3.0,7,6,5,15.00,1,7,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Feb 10,home,Angelina,W,6-5,6,5,1,win,20170210_bef7,0,0,0,1,1.2,1,,,0.00,1,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Feb 22,home,Angelina,W,2-1,2,1,1,win,20170222_nktv,0,0,0,0,0.1,,,,0.00,,,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Feb 27,home,Concordia JV,W,7-6,7,6,1,win,20170227_oln3,0,0,0,0,1.0,3,2,2,18.00,1,,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Mar 1,home,St. Edward's JV,W,7-0,7,0,7,win,20170301_8v9b,0,0,0,0,2.1,1,,,0.00,1,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Mar 13,home,Navarro,L,8-7,8,7,1,win,20170313_a2zs,0,0,0,0,1.0,,,,0.00,,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Mar 16,home,North Central Texas,W,7-6,7,6,1,win,20170316_w7do,0,1,0,0,1.0,,,,0.00,,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Mar 21,home,Galveston,W,9-4,9,4,5,win,20170321_mix2,0,1,0,0,1.2,3,,,0.00,,,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Mar 29,home,Cisco,L,5-3,5,3,2,win,20170329_b57j,0,0,1,0,1.1,2,2,,0.00,,,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Apr 12,home,Ranger,W,7-2,7,2,5,win,20170412_hex9,0,0,0,0,1.0,1,,,0.00,,2,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Apr 26,home,McLennan,L,6-3,6,3,3,win,20170426_c9p5,0,0,0,0,1.1,,,,0.00,,3,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
Apr 28,home,McLennan,L,13-5,13,5,8,win,20170428_xrpa,0,0,0,0,1.2,1,2,,0.00,1,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
May 1,home,Blinn,W,3-1,3,1,2,win,20170501_n922,1,0,0,0,1.0,0,0,0,0.00,0,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
May 3,home,Weatherford,L,10-0,10,0,10,win,20170503_0c1h,0,0,0,0,0.1,1,,,0.00,,,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
May 6,home,Weatherford,L,13-3,13,3,10,win,20170506_1z88,0,0,0,0,1.0,3,1,1,9.00,,1,2017,2016-17,div1,Temple,templecollege,ryankeeseevkjh,Ryan Keesee
