date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 4,home,John A. Logan,L,8-4,8,4,4.0,win,20170304_v7nn,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 4,home,John A. Logan,L,13-2,13,2,11.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 5,home,John A. Logan,L,6-2,6,2,4.0,win,20170305_vu1g,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 5,home,John A. Logan,L,21-0,21,0,21.0,win,20170305_byx0,0,0,0,0,0.0,4,5,5,INF,1,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 6,home,Heartland,L,3-1,3,1,2.0,win,20170306_931d,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 6,home,Heartland,L,8-6,8,6,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 8,home,Moraine Valley,L,26-24,26,24,2.0,win,20170308_x5of,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 11,home,Indian Hills,L,12-11,12,11,1.0,win,20170311_65k9,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 11,home,Indian Hills,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 12,home,Georgia Highlands,W,3-1,3,1,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 12,home,Indian Hills,W,12-11,12,11,1.0,win,20170312_4iz4,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 13,home,Cleveland State,W,2-0,2,0,2.0,win,20170313_hgst,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 13,home,Cleveland State,L,13-0,13,0,13.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 21,home,South Suburban,L,7-5,7,5,2.0,win,20170321_wlkb,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 22,home,Kankakee,L,9-3,9,3,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 23,home,Milwaukee Area Tech,W,11-0,11,0,11.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 23,home,Milwaukee Area Tech,W,5-0,5,0,5.0,win,20170323_yygj,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 24,home,Olive-Harvey,W,22-1,22,1,21.0,win,20170324_mf81,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 24,home,Olive-Harvey,W,19-7,19,7,12.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 26,home,Milwaukee Area Tech,,,,,12.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 26,home,Milwaukee Area Tech,,,,,12.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Mar 28,home,McHenry County,W,8-7,8,7,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 1,home,Rock Valley,W,7-1,7,1,6.0,win,20170401_7cqa,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 1,home,Rock Valley,W,9-3,9,3,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 4,home,Oakton,L,7-2,7,2,5.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 7,home,South Suburban,L,8-2,8,2,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 8,home,Joliet,W,7-4,7,4,3.0,win,20170408_pq4h,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 8,home,Joliet,L,6-4,6,4,2.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 9,home,Kishwaukee,W,11-1,11,1,10.0,win,20170409_osse,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 9,home,Kishwaukee,W,10-9,10,9,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 11,home,Morton,L,6-5,6,5,1.0,win,20170411_jcgd,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 12,home,Kankakee,L,9-6,9,6,3.0,win,20170412_w5rr,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 14,home,Olive-Harvey,W,13-9,13,9,4.0,win,20170414_a5jy,0,0,0,0,1.1,3,2,2,13.50,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 15,home,Harper,W,9-2,9,2,7.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 15,home,Harper,W,18-3,18,3,15.0,win,20170415_cjtr,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 18,home,DuPage,W,10-0,10,0,10.0,win,20170418_amb6,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 18,home,DuPage,W,8-5,8,5,3.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 19,home,Kishwaukee,W,9-6,9,6,3.0,win,20170419_xaun,0,0,0,0,0.2,2,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 21,home,South Suburban,L,10-8,10,8,2.0,win,20170421_vvfe,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 22,home,DuPage,W,11-7,11,7,4.0,win,20170422_o29k,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 22,home,DuPage,W,11-3,11,3,8.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 23,home,Morton,W,6-2,6,2,4.0,win,20170423_g5hp,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 23,home,Morton,W,7-0,7,0,7.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 25,home,Lake County,W,9-8,9,8,1.0,win,20170425_1nva,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 27,home,McHenry County,L,23-6,23,6,17.0,win,20170427_s9jd,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 29,home,Madison,L,4-3,4,3,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
Apr 29,home,Madison,W,14-9,14,9,5.0,win,20170429_p74c,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 2,home,Elgin,W,17-13,17,13,4.0,win,20170502_hjhl,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 3,home,Oakton,L,8-2,8,2,6.0,win,20170503_17vw,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 6,home,Black Hawk-Moline,L,13-2,13,2,11.0,win,20170506_03zq,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 6,home,Black Hawk-Moline,W,9-3,9,3,6.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 12,home,Kishwaukee,W,5-2,5,2,3.0,win,20170512_x1dd,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 13,home,South Suburban,W,9-7,9,7,2.0,win,20170513_8j18,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 14,home,South Suburban,W,12-11,12,11,1.0,win,,,,,,,,,,,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
May 14,home,South Suburban,L,12-6,12,6,6.0,win,20170514_h2kv,0,0,0,0,0.0,,,,0.00,,,2017,2016-17,div1,Triton,tritoncollege,zachtaylorvil0,Zach Taylor
