date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 25  #,home,Newman University,,,,,6.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 2,home,Northeast Texas,W,5-3,5,3,2.0,win,20180202_l6zu,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 2,home,Northeast Texas,L,11-5,11,5,6.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 3,home,Northeast Texas,W,17-0,17,0,17.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 8,home,Paris,L,8-1,8,1,7.0,win,20180208_mpjp,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 9,home,Paris,L,3-1,3,1,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 9,home,Paris,W,3-0,3,0,3.0,win,20180209_kcvx,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 15,home,Eastern Oklahoma State,L,10-7,10,7,3.0,win,20180215_hrtq,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 18,home,Eastern Oklahoma State,L,3-2,3,2,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 18,home,Eastern Oklahoma State,W,4-1,4,1,3.0,win,20180218_aww9,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 22,home,Seminole State (OK),,,,,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 22,home,Seminole State (OK),,,,,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 24,home,Seminole State (OK),,,,,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 24,home,Seminole State (OK),,,,,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Feb 26,home,Cloud County,W,16-1,16,1,15.0,win,20180226_4qzc,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 1,home,Johnson County,W,10-0,10,0,10.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 1,home,Johnson County,W,15-2,15,2,13.0,win,20180301_ztgo,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 3,home,Johnson County,W,6-4,6,4,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 3,home,Johnson County,W,10-9,10,9,1.0,win,20180303_38cq,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 8,home,Neosho County,W,13-6,13,6,7.0,win,20180308_0ctm,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 8,home,Neosho County,L,8-6,8,6,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 9,home,Neosho County,W,10-3,10,3,7.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 9,home,Neosho County,W,16-5,16,5,11.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 13,home,Pratt,W,9-6,9,6,3.0,win,20180313_isip,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 15,home,Coffeyville,W,7-6,7,6,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 15,home,Coffeyville,W,11-6,11,6,5.0,win,20180315_rqzo,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 17,home,Coffeyville,W,2-0,2,0,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 17,home,Coffeyville,W,24-7,24,7,17.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 20,home,Hutchinson,W,9-3,9,3,6.0,win,20180320_zplt,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 22,home,Independence,W,14-5,14,5,9.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 22,home,Independence,L,6-5,6,5,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 24,home,Independence,W,8-0,8,0,8.0,win,20180324_jgzw,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 24,home,Independence,L,11-10,11,10,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 27,home,Hutchinson,,,,,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 30,home,Labette,W,10-4,10,4,6.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 30,home,Labette,W,4-3,4,3,1.0,win,20180330_ldd1,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 31,home,Labette,W,9-6,9,6,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Mar 31,home,Labette,W,6-4,6,4,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Apr 3,home,Butler,,,,,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
Apr 5,home,Highland (KS),W,11-3,11,3,8.0,win,,,,,,,,,,,,,2018,2017-18,div1,Cowley,cowleycountycommunitycollege,jackduke2dkg,Jack Duke
