date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 8,home,LSU Eunice,L,12-2,12,2,10.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 9,home,LSU Eunice,L,9-1,9,1,8.0,win,20180209_9phx,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 9,home,LSU Eunice,L,12-2,12,2,10.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 15,home,Redlands,L,13-1,13,1,12.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 15,home,Redlands,L,8-3,8,3,5.0,win,20180215_amr5,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 17,home,MCC-Maple Woods,W,9-8,9,8,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 17,home,MCC-Maple Woods,W,8-3,8,3,5.0,win,20180217_i0gn,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 24,home,Southwestern,,,,,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 24,home,Southwestern,,,,,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 25,home,Southwestern,,,,,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 25,home,Southwestern,,,,,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 27,home,Carl Albert State,,,,,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Feb 27,home,Carl Albert State,,,,,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 1,home,Arkansas Baptist,W,10-2,10,2,8.0,win,20180301_mlzk,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 3,home,Arkansas Baptist,W,9-0,9,0,9.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 3,home,Arkansas Baptist,W,20-11,20,11,9.0,win,20180303_sh9l,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 6,home,Redlands,W,12-9,12,9,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 6,home,Redlands,L,13-7,13,7,6.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 8,home,Rose State,L,2-1,2,1,1.0,win,20180308_yjbh,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 10,home,Rose State,W,7-0,7,0,7.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 10,home,Rose State,W,19-5,19,5,14.0,win,20180310_6wgt,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 14,home,MCC-Maple Woods,W,18-7,18,7,11.0,win,20180314_i7an,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 14,home,MCC-Maple Woods,W,16-7,16,7,9.0,win,20180314_j28z,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 15,home,Connors State,L,8-4,8,4,4.0,win,20180315_ecs4,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 17,home,Connors State,W,11-6,11,6,5.0,win,20180317_i8t2,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 17,home,Connors State,L,18-3,18,3,15.0,win,20180317_ftmy,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 20,home,Carl Albert State,L,8-3,8,3,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 20,home,Carl Albert State,L,7-0,7,0,7.0,win,20180320_myus,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 22,home,Eastern Oklahoma State,W,5-3,5,3,2.0,win,20180322_4ani,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 24,home,Eastern Oklahoma State,L,5-2,5,2,3.0,win,20180324_pww1,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 24,home,Eastern Oklahoma State,L,11-7,11,7,4.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 26,home,Oklahoma Wesleyan,W,19-2,19,2,17.0,win,20180326_je6z,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 26,home,Oklahoma Wesleyan,W,11-0,11,0,11.0,win,20180326_v054,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 30,home,Seminole State (OK),L,17-1,17,1,16.0,win,20180330_rrfi,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 31,home,Seminole State (OK),W,13-10,13,10,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Mar 31,home,Seminole State (OK),L,5-4,5,4,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 8,home,Arkansas Baptist,W,5-0,5,0,5.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 8,home,Arkansas Baptist,L,7-6,7,6,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 8,home,Arkansas Baptist,L,11-4,11,4,7.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 9,home,Oklahoma Wesleyan,W,7-5,7,5,2.0,win,20180409_y1w8,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 9,home,Oklahoma Wesleyan,W,5-2,5,2,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 12,home,Rose State,W,3-0,3,0,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 15,home,Rose State,W,8-7,8,7,1.0,win,20180415_s6l8,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 15,home,Rose State,W,6-4,6,4,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 17,home,Crowder,W,8-5,8,5,3.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 19,home,Connors State,L,15-3,15,3,12.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 20,home,Connors State,L,8-2,8,2,6.0,win,20180420_ygyl,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 20,home,Connors State,L,9-7,9,7,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 24,home,Drury,W,12-10,12,10,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 24,home,Drury,W,9-8,9,8,1.0,win,20180424_wlde,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 26,home,Eastern Oklahoma State,L,11-3,11,3,8.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 28,home,Eastern Oklahoma State,W,6-5,6,5,1.0,win,20180428_pocv,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
Apr 28,home,Eastern Oklahoma State,L,13-8,13,8,5.0,win,20180428_wgdr,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
May 3,home,Seminole State (OK),L,4-0,4,0,4.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
May 5,home,Seminole State (OK),L,5-4,5,4,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
May 5,home,Seminole State (OK),L,10-0,10,0,10.0,win,20180505_1nkc,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
May 10,home,Eastern Oklahoma State,L,8-7,8,7,1.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
May 11,home,Seminole State (OK),L,17-15,17,15,2.0,win,,,,,,,,,,,,,2018,2017-18,div1,Northeastern Oklahoma A&M,northeasternoklahomaamcollege,marquelusteri5u1,Marque Luster
