date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 2  #,home,CSU Club,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 8  #,home,Colorado School of Mines,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 15  #,home,CSU Pueblo,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 16  #,home,Cherry Creek,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 22  #,home,Pueblo West,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 23  #,home,Adams State University,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 27  #,home,ABA,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Sep 28  #,home,ABA,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Oct 5  #,home,West Texas A&M,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Oct 8  #,home,Slammers,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Oct 11  #,home,Sophomore Showcase,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Oct 20  #,home,Luna,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Oct 27  #,home,BC Grinders,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Oct 28  #,home,New Mexico Highlands,,,,,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 1,home,GateWay (AZ),L,10-7,10,7,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 2,home,South Mountain,L,10-3,10,3,7.0,win,20190202_hysh,0,0,0,0,1.1,2,3,2,13.50,2,2,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 2,home,Central Arizona,L,10-0,10,0,10.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 3,home,Southern Nevada,L,13-2,13,2,11.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 8,home,Eastern Arizona,L,3-0,3,0,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 8,home,Eastern Arizona,W,4-1,4,1,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 9,home,Eastern Arizona,W,9-0,9,0,9.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 9,home,Eastern Arizona,L,2-1,2,1,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 15,home,New Mexico Military,L,7-6,7,6,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 16,home,New Mexico,L,16-1,16,1,15.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 16,home,New Mexico Military,W,11-8,11,8,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 17,home,Garden City,L,7-5,7,5,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 20,home,Luna,W,7-6,7,6,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 25,home,Southeast,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 25,home,Southeast,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Feb 26,home,Southeast,W,14-1,14,1,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 1,home,Northeastern,W,13-9,13,9,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 2,home,Northeastern,W,10-3,10,3,7.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 2,home,Northeastern,W,11-7,11,7,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 5,home,Adams State University JV,,,,,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 9,home,Western Nebraska,L,6-5,6,5,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 10,home,Western Nebraska,L,10-3,10,3,7.0,win,20190310_nek1,0,0,0,0,1.0,,,,0.00,,3,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 10,home,Western Nebraska,W,11-3,11,3,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 12,home,Adams State University JV,,,,,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 12,home,Adams State University JV,,,,,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 15,home,CSU-Fort Collins,,,,,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 16,home,CSU-Fort Collins,W,11-0,11,0,11.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 16,home,CSU-Fort Collins,W,17-1,17,1,16.0,win,20190316_db4y,1,1,0,0,4.0,2,1,0,0.00,2,7,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 19,home,Luna,L,10-7,10,7,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 22,home,McCook,L,2-1,2,1,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 23,home,McCook,W,8-3,8,3,5.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 23,home,McCook,W,9-8,9,8,1.0,win,20190323_lues,0,1,0,0,3.0,3,,,0.00,,5,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 28,home,Lamar,L,2-1,2,1,1.0,win,20190328_h0id,1,0,1,0,7.0,5,2,2,2.57,2,9,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 31,home,Southeast,L,4-1,4,1,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Mar 31,home,Southeast,L,5-3,5,3,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 1,home,Southeast,L,3-0,3,0,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 3,home,Otero,W,15-6,15,6,9.0,win,20190403_ns0o,1,1,0,0,5.1,6,4,2,3.38,2,4,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 6,home,Lamar,W,2-1,2,1,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 6,home,Lamar,L,8-1,8,1,7.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 7,home,Lamar,W,9-8,9,8,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 7,home,Lamar,W,4-0,4,0,4.0,win,20190407_0yd2,1,1,0,0,7.0,4,0,0,0.00,3,6,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 14,home,Otero,W,8-4,8,4,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 14,home,Otero,W,6-1,6,1,5.0,win,20190414_2zyq,1,1,0,0,6.0,1,0,0,0.00,8,8,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 15,home,Otero,W,4-2,4,2,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 15,home,Otero,W,7-2,7,2,5.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 19,home,Western Nebraska,L,3-2,3,2,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
