date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 6,home,Surry,W,21-6,21,6,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 7,home,Surry,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 13,home,Rockingham,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 14,home,Rockingham,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 14,home,Rockingham,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 20,home,Caldwell Tech,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 20,home,Caldwell Tech,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 21,home,Caldwell Tech,,,,,15.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 27,home,BC Post Grad,W,9-4,9,4,5.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 27,home,MontreCollege JV,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Feb 28,home,Lackawanna,L,8-0,8,0,8.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
