date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 11,home,Wake Tech,L,11-5,11,5,6,win,20230211_pcxx,1,0,1,0,3.0,1,5,5,15.00,5,3,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Feb 26,home,Bergen,L,7-5,7,5,2,win,20230226_xdjf,1,0,1,0,3.0,7,7,4,12.00,2,3,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Mar 9,home,CCBC Catonsville,L,9-6,9,6,3,win,20230309_ksht,0,0,0,0,6.0,5,4,2,3.00,2,8,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Mar 16,home,UConn Avery Point,W,10-9,10,9,1,win,20230316_gyw1,1,0,0,0,3.0,0,1,1,3.00,3,5,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Mar 19,home,Montgomery,W,2-1,2,1,1,win,20230319_4jao,1,1,0,0,6.1,6,1,1,1.42,1,4,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Mar 28,home,Frederick,L,20-5,20,5,15,win,20230328_ghvo,1,0,1,0,0.2,5,8,3,40.50,2,0,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Apr 8,home,Chesapeake,W,16-9,16,9,7,win,20230408_dova,0,1,0,0,6.0,9,9,6,9.00,1,9,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Apr 12,home,Delaware Tech,L,13-6,13,6,7,win,20230412_7idl,1,0,0,0,2.0,4,2,1,4.50,0,1,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Apr 16,home,Southern Maryland,L,7-6,7,6,1,win,20230416_3lp9,1,0,1,0,6.1,8,7,6,8.53,4,4,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
Apr 22,home,CCBC Essex,L,11-5,11,5,6,win,20230422_oq5g,1,0,0,0,3.1,6,4,4,10.80,0,3,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
May 2,home,Anne Arundel,L,15-2,15,2,13,win,20230502_ab1k,1,0,1,0,0.0,10,10,8,INF,0,0,2023,2022-23,div2,CCBC Dundalk,ccbcdundalk,benhallkgon,Ben Hall
