date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 3,home,Lurleen B. Wallace,W,2-0,2,0,2,win,20230203_mh4l,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Feb 8,home,Cleveland State,L,23-0,23,0,23,win,20230208_ip9v,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Feb 24,home,Chipola,L,10-4,10,4,6,win,20230224_ht9j,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Feb 25,home,Pensacola State,L,5-1,5,1,4,win,20230225_4zob,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Feb 28,home,Volunteer State,W,6-4,6,4,2,win,20230228_4v8d,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Mar 10,home,Northwest-Shoals Community College,L,5-4,5,4,1,win,20230310_egld,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Mar 16,home,Marion Military,L,8-3,8,3,5,win,20230316_jlo6,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Mar 18,home,Marion Military,L,11-6,11,6,5,win,20230318_6fgu,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Mar 23,home,Shelton State,L,7-1,7,1,6,win,20230323_k532,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Mar 28,home,Columbia State,L,14-13,14,13,1,win,20230328_08sh,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Mar 30,home,Snead State,W,9-7,9,7,2,win,20230330_os9z,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 1,home,Snead State,L,5-2,5,2,3,win,20230401_u2nu,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 4,home,Itawamba,L,17-5,17,5,12,win,20230404_5hf7,0,0,0,0,2.1,3,2,1,3.86,1,1,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 10,home,Central Alabama,L,6-3,6,3,3,win,20230410_ax6y,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 13,home,Lawson State,W,6-1,6,1,5,win,20230413_pzhi,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 20,home,Bevill State,W,9-5,9,5,4,win,20230420_s13h,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 21,home,Bevill State,L,11-6,11,6,5,win,20230421_1hnl,0,0,1,0,0.0,,1,1,INF,2,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 28,home,Wallace State,L,11-9,11,9,2,win,20230428_dm40,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
Apr 30,home,Wallace State,L,2-1,2,1,1,win,20230430_c53o,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
May 4,home,Southern Union State,L,9-1,9,1,8,win,20230504_k712,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
May 4,home,Southern Union State,L,11-4,11,4,7,win,20230504_hyp8,0,0,0,0,2.0,,,,0.00,,1,2023,2022-23,div1,Calhoun,calhouncommunitycollege,glavinesegarsd64u,Glavine Segars
