date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 3,home,Central Arizona,L,4-0,4,0,4,win,20230203_r790,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 3,home,New Mexico,L,5-2,5,2,3,win,20230203_e7yw,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 4,home,El Paso,W,9-1,9,1,8,win,20230204_n390,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 5,home,Salt Lake,L,19-6,19,6,13,win,20230205_ujf9,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 9,home,Scottsdale Post Grad,W,10-0,10,0,10,win,20230209_v4dv,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 9,home,Scottsdale Post Grad,W,8-2,8,2,6,win,20230209_zb02,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 14,home,Pima,L,3-2,3,2,1,win,20230214_z0zx,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 14,home,Pima,L,12-5,12,5,7,win,20230214_ts62,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 18,home,Cochise,W,6-0,6,0,6,win,20230218_vn6l,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 18,home,Cochise,W,6-4,6,4,2,win,20230218_u448,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 21,home,Arizona Western,W,2-1,2,1,1,win,20230221_dtcl,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 21,home,Arizona Western,L,14-10,14,10,4,win,20230221_38bn,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 25,home,South Mountain,L,3-2,3,2,1,win,20230225_33pf,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 25,home,South Mountain,L,22-7,22,7,15,win,20230225_6v2d,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 28,home,Eastern Arizona,W,7-2,7,2,5,win,20230228_gi5n,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Feb 28,home,Eastern Arizona,W,9-7,9,7,2,win,20230228_vybk,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 4,home,Central Arizona,L,6-2,6,2,4,win,20230304_7sx3,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 4,home,Central Arizona,L,10-2,10,2,8,win,20230304_p9qi,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 11,home,Phoenix,W,5-2,5,2,3,win,20230311_7irp,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 11,home,Phoenix,W,11-8,11,8,3,win,20230311_c0ya,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 13,home,Scottsdale Post Grad,W,12-2,12,2,10,win,20230313_blm6,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 17,home,Langley Blaze,W,12-5,12,5,7,win,20230317_zymh,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 17,home,Langley Blaze,L,5-3,5,3,2,win,20230317_hkzv,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 23,home,Paradise Valley,W,3-2,3,2,1,win,20230323_zjxn,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 23,home,Paradise Valley,W,10-2,10,2,8,win,20230323_rtm2,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 25,home,Mesa,W,8-1,8,1,7,win,20230325_iq1o,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
Mar 25,home,Mesa,W,9-7,9,7,2,win,20230325_y4ms,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Union State,southernunionstatecommunitycollege,landonleake31zd,LANDON LEAKE
