date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 28,home,Cumberland University JV,W,7-0,7,0,7,win,20230328_2ibt,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 1,home,Walters State,L,4-3,4,3,1,win,20230401_g3s9,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 2,home,Walters State,W,23-6,23,6,17,win,20230402_zqdy,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 2,home,Walters State,L,6-2,6,2,4,win,20230402_genk,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 4,home,Cumberland University JV,W,9-2,9,2,7,win,20230404_ukav,1,1,0,0,2.0,2,0,0,0.00,0,3,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 7,home,Southwest Tennessee,W,6-5,6,5,1,win,20230407_6kzp,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 8,home,Southwest Tennessee,L,10-9,10,9,1,win,20230408_7whx,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 8,home,Southwest Tennessee,L,12-5,12,5,7,win,20230408_qyk3,0,0,0,0,2.1,4,5,4,15.43,,2,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 11,home,Lake Area Academy,W,16-2,16,2,14,win,20230411_l126,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 14,home,Jackson State,W,13-3,13,3,10,win,20230414_5thm,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 15,home,Jackson State,W,15-5,15,5,10,win,20230415_g8oz,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 15,home,Jackson State,W,9-2,9,2,7,win,20230415_oevq,0,0,0,0,2.0,1,,,0.00,,3,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 21,home,Cleveland State,L,7-0,7,0,7,win,20230421_of8g,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 22,home,Cleveland State,W,6-0,6,0,6,win,20230422_p6aj,0,1,0,0,3.0,3,,,0.00,,5,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 29,home,Motlow State,L,4-3,4,3,1,win,20230429_cqvk,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
Apr 29,home,Motlow State,W,8-3,8,3,5,win,20230429_522l,1,0,0,0,4.1,3,3,3,6.23,1,3,2023,2022-23,div1,Volunteer State,volunteerstatecommunitycollege,tannerbumbaloughbo68,Tanner Bumbalough
