date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,home,St. Petersburg,W,11-4,11,4,7,win,20230128_z7ii,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Jan 30,home,Polk State,W,6-1,6,1,5,win,20230130_3049,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Feb 4,home,St. Petersburg,W,9-2,9,2,7,win,20230204_upwd,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Feb 11,home,A3 Academy,W,17-3,17,3,14,win,20230211_hm08,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Feb 18,home,Florida SouthWestern State,L,8-5,8,5,3,win,20230218_mhvz,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Feb 25,home,South Florida State,L,4-1,4,1,3,win,20230225_l2e2,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Feb 25,home,South Florida State,W,9-4,9,4,5,win,20230225_11d9,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Mar 4,home,Palm Beach State,W,11-1,11,1,10,win,20230304_81uq,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Mar 11,home,Florida State Jacksonville,W,12-2,12,2,10,win,20230311_wlqp,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
Mar 11,home,Florida State Jacksonville,W,13-8,13,8,5,win,20230311_kzgz,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div2,Pasco-Hernando State,pascohernandostatecollege,timdunnzy2s,Tim Dunn
