date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 6,home,Hudson Valley,L,10-0,10,0,10,win,20240306_yzdw,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 6,home,Hudson Valley,L,13-1,13,1,12,win,20240306_80iu,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 12,home,Prairie State,L,10-4,10,4,6,win,20240312_39oq,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 12,home,Prairie State,L,8-0,8,0,8,win,20240312_xd6j,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 13,home,Oakton,L,18-1,18,1,17,win,20240313_4qmd,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 13,home,Oakton,L,26-2,26,2,24,win,20240313_77wj,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 15,home,Hudson Valley,L,10-0,10,0,10,win,20240315_zvoi,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 18,home,York County Community College,L,16-5,16,5,11,win,20240318_ibl3,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Mar 26,home,UConn Avery Point,L,19-0,19,0,19,win,20240326_m26z,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Apr 8,home,Northern Essex,L,27-1,27,1,26,win,20240408_iznl,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Apr 11,home,Rhode Island,L,11-2,11,2,9,win,20240411_gmm4,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
Apr 15,home,Northern Essex,L,11-1,11,1,10,win,20240415_zvu6,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Holyoke,holyokecommunitycollege,colinconsedinenjbd,Colin Consedine
