date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 1,home,Redlands,W,6-3,6,3,3,win,20240201_5tir,0,1,0,0,3.1,3,1,1,2.70,1.20,1,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Feb 9,home,Kirkwood,L,7-5,7,5,2,win,20240209_3yaa,0,0,0,0,3.0,3,4,4,12.00,2.33,4,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Feb 17,home,Midland,W,9-5,9,5,4,win,20240217_52g4,0,0,0,0,3.0,2,,,0.00,1.00,1,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Feb 23,home,Vernon,W,17-11,17,11,6,win,20240223_hac2,0,1,0,0,3.0,5,6,6,18.00,2.67,3,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 1,home,New Mexico,L,7-1,7,1,6,win,20240301_b5ip,0,0,0,0,4.0,5,3,2,4.50,2.00,3,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 10,home,Trinidad State,W,3-2,3,2,1,win,20240310_qrnp,0,0,0,0,1.0,,,,0.00,,,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 14,home,Dodge City,W,4-0,4,0,4,win,20240314_ekmw,0,0,0,0,1.0,,,,0.00,,,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 16,home,Dodge City,L,2-1,2,1,1,win,20240316_tahh,0,0,0,0,0.2,1,,,0.00,1.50,,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 16,home,Dodge City,W,7-4,7,4,3,win,20240316_25ya,0,0,0,1,0.1,,,,0.00,,,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 21,home,Cloud County,L,5-1,5,1,4,win,20240321_zqsb,0,0,0,0,2.0,5,4,4,18.00,3.00,1,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
Mar 23,home,Cloud County,W,7-6,7,6,1,win,20240323_o63a,0,1,0,0,5.0,3,1,1,1.80,.80,1,2024,2023-24,div1,Seward County,sewardcountycommunitycollege,eliasherrerauc9f,Elias Herrera
