date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 25,home,Frontier,L,10-0,10,0,10,win,20240225_xe5z,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 2,home,Hocking,W,12-2,12,2,10,win,20240302_wui2,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 2,home,Hocking,W,12-7,12,7,5,win,20240302_45q4,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 13,home,Montgomery County,W,11-0,11,0,11,win,20240313_0xyy,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 13,home,Rays Collegiate,L,8-3,8,3,5,win,20240313_oisn,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 15,home,Sussex County,L,7-3,7,3,4,win,20240315_szyc,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 15,home,Ocean County,W,16-6,16,6,10,win,20240315_ocpn,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 16,home,Bergen,L,7-6,7,6,1,win,20240316_68oo,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 17,home,Muskingum University JV,L,12-8,12,8,4,win,20240317_etb2,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 17,home,Muskingum University JV,L,16-10,16,10,6,win,20240317_menm,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 19,home,Lansing,L,10-2,10,2,8,win,20240319_81ua,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 21,home,Kalamazoo Valley,W,10-2,10,2,8,win,20240321_z3kd,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Mar 29,home,Glen Oaks,L,11-2,11,2,9,win,20240329_8aih,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 4,home,Lansing,L,17-1,17,1,16,win,20240404_dc5n,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 4,home,Lansing,W,11-9,11,9,2,win,20240404_813y,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 6,home,Lansing,L,19-7,19,7,12,win,20240406_i672,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 6,home,Lansing,L,6-5,6,5,1,win,20240406_avoe,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 10,home,Kalamazoo Valley,L,7-0,7,0,7,win,20240410_8uxo,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 13,home,Kalamazoo Valley,W,9-6,9,6,3,win,20240413_bfnd,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 16,home,Aquinas,L,5-4,5,4,1,win,20240416_ga94,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 16,home,Aquinas,L,5-4,5,4,1,win,20240416_h1kt,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 18,home,Marian-Ancilla,L,4-1,4,1,3,win,20240418_8b7f,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 20,home,Marian-Ancilla,W,12-9,12,9,3,win,20240420_bvks,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 21,home,Alpena,L,10-3,10,3,7,win,20240421_iymi,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 21,home,Alpena,L,8-4,8,4,4,win,20240421_w88x,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 25,home,Kellogg,L,8-2,8,2,6,win,20240425_a034,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 25,home,Kellogg,W,3-1,3,1,2,win,20240425_eoxa,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
Apr 26,home,Kellogg,L,6-4,6,4,2,win,20240426_ublx,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
May 2,home,Glen Oaks,L,4-3,4,3,1,win,20240502_xsee,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
May 2,home,Glen Oaks,W,14-4,14,4,10,win,20240502_7iwq,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
May 4,home,Glen Oaks,L,5-1,5,1,4,win,20240504_i0az,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Lake Michigan,lakemichigancollege,hunterkrughgof5,Hunter Krugh
