date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 8,home,Sullivan County,L,18-7,18,7,11,win,20240308_xzfq,0,0,1,0,1.1,4,6,6,40.50,4.50,2,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Mar 13,home,Jefferson (NY),W,13-12,13,12,1,win,20240313_ds04,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Mar 16,home,Kingsborough,W,13-1,13,1,12,win,20240316_6tpp,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Mar 26,home,Tompkins Cortland,W,13-3,13,3,10,win,20240326_5knk,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Mar 30,home,Finger Lakes,L,5-3,5,3,2,win,20240330_o5kd,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 6,home,Corning,W,10-2,10,2,8,win,20240406_hjzm,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 9,home,Corning,W,12-6,12,6,6,win,20240409_2evu,0,1,0,0,2.2,2,1,1,3.38,1.50,2,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 15,home,SUNY Broome,W,6-5,6,5,1,win,20240415_bspe,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 15,home,SUNY Broome,W,11-1,11,1,10,win,20240415_kxm3,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 18,home,Genesee,L,10-3,10,3,7,win,20240418_umhh,0,0,0,0,0.1,,,,0.00,3.00,1,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 20,home,Genesee,L,4-2,4,2,2,win,20240420_xtjh,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 25,home,Utica JV,W,17-6,17,6,11,win,20240425_1up2,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 27,home,Erie,L,7-4,7,4,3,win,20240427_9elu,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
Apr 28,home,Erie,L,15-3,15,3,12,win,20240428_0k25,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
May 1,home,Cayuga,L,4-0,4,0,4,win,20240501_2w0t,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
May 1,home,Cayuga,W,3-2,3,2,1,win,20240501_rrxl,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
May 2,home,SUNY Niagara,L,3-2,3,2,1,win,20240502_nsyl,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
May 3,home,Monroe CC,L,13-2,13,2,11,win,20240503_cnog,0,0,0,0,2.1,5,5,4,15.43,2.57,1,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
May 3,home,Monroe CC,L,9-5,9,5,4,win,20240503_5nfd,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div3,Onondaga,onondagacommunitycollege,jackbushnellw5bu,JACK BUSHNELL
