date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 1,home,Jamestown JV,W,10-3,10,3,7,win,20240401_z5yx,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 1,home,Jamestown JV,W,9-5,9,5,4,win,20240401_uavi,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 3,home,Miles,L,8-3,8,3,5,win,20240403_7w2n,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 6,home,Bismarck State,L,5-3,5,3,2,win,20240406_1dea,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 7,home,Bismarck State,L,13-4,13,4,9,win,20240407_x0lx,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 10,home,Dakota-Bottineau,W,13-12,13,12,1,win,20240410_hxy9,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 10,home,Dakota-Bottineau,L,4-2,4,2,2,win,20240410_uiss,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 13,home,North Dakota SCS,L,10-9,10,9,1,win,20240413_ngsv,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 13,home,North Dakota SCS,W,12-2,12,2,10,win,20240413_l02k,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 14,home,North Dakota SCS,L,9-7,9,7,2,win,20240414_vu1i,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 21,home,Williston State,L,7-5,7,5,2,win,20240421_z79i,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 24,home,Dakota-Bottineau,W,18-4,18,4,14,win,20240424_p0hl,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 24,home,Dakota-Bottineau,W,13-10,13,10,3,win,20240424_0ov9,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 27,home,Lake Region State,W,10-9,10,9,1,win,20240427_f33f,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 28,home,Lake Region State,W,8-3,8,3,5,win,20240428_09w9,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
Apr 28,home,Lake Region State,W,13-3,13,3,10,win,20240428_dmjx,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Dawson,dawsoncommunitycollege,joelbevers0s2,Joel Bever
