date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 29,home,Dallas College - Eastfield,L,15-2,15,2,13,win,20240129_b13d,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Jan 29,home,Dallas College - Eastfield,L,15-5,15,5,10,win,20240129_ozoe,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Feb 2,home,ASU Mountain Home,L,18-8,18,8,10,win,20240202_iyvd,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Feb 9,home,UA Rich Mountain,L,11-3,11,3,8,win,20240209_eu08,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Feb 13,home,National Park College,L,5-4,5,4,1,win,20240213_1ctc,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Feb 13,home,National Park College,L,2-0,2,0,2,win,20240213_wd39,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Feb 17,home,Olney Central,L,8-1,8,1,7,win,20240217_ucbo,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Feb 24,home,Murray State,L,14-2,14,2,12,win,20240224_oaex,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Mar 9,home,Rose State,L,12-0,12,0,12,win,20240309_bgmp,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Mar 12,home,Arkansas State Mid-South,L,14-8,14,8,6,win,20240312_uh6n,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Mar 21,home,Connors State,L,11-0,11,0,11,win,20240321_agy6,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Mar 29,home,Seminole State (OK),L,31-6,31,6,25,win,20240329_4a04,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Mar 30,home,Seminole State (OK),L,9-4,9,4,5,win,20240330_2upp,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Mar 30,home,Seminole State (OK),L,18-7,18,7,11,win,20240330_rcp7,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 2,home,South Arkansas,L,5-3,5,3,2,win,20240402_u51a,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 12,home,Rose State,L,22-9,22,9,13,win,20240412_mae4,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 13,home,Rose State,L,10-2,10,2,8,win,20240413_3d8q,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 20,home,North Arkansas,L,7-6,7,6,1,win,20240420_yygu,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 23,home,Southern Arkansas University Tech,W,16-12,16,12,4,win,20240423_722l,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 26,home,Southeast Arkansas College,L,11-9,11,9,2,win,20240426_1xyu,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 27,home,Southeast Arkansas College,L,5-3,5,3,2,win,20240427_4lll,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
Apr 27,home,Southeast Arkansas College,L,2-0,2,0,2,win,20240427_bylo,0,0,0,0,0.0,,,,0.00,,,2024,2023-24,div2,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,traviscolliehf49,Travis Collie
