date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 2,home,Abraham Baldwin,L,8-7,8,7,1,win,20240202_5nwp,0,0,0,0,3.0,2,1,1,3.00,1.00,1,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Feb 8,home,Vincennes,W,8-3,8,3,5,win,20240208_jm50,0,1,0,0,3.0,2,,,0.00,1.00,1,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Feb 17,home,Cuyahoga,W,11-1,11,1,10,win,20240217_r91t,1,1,0,0,6.0,3,1,1,1.50,.83,2,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Feb 23,home,Lincoln Trail,W,5-3,5,3,2,win,20240223_uwbm,0,0,0,0,0.0,,3,3,INF,,3,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Feb 27,home,BCA,W,6-0,6,0,6,win,20240227_2d0w,1,1,0,0,4.0,2,0,0,0.00,.75,1,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Mar 11,home,Dyersburg State,L,8-6,8,6,2,win,20240311_tppl,1,0,1,0,2.2,6,5,4,13.50,2.25,0,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Mar 16,home,Jackson State,W,13-12,13,12,1,win,20240316_3cs8,1,0,0,0,4.0,3,4,2,4.50,1.50,3,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Mar 22,home,Roane State,W,4-3,4,3,1,win,20240322_hlw1,0,0,0,1,0.1,,,,0.00,,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Mar 23,home,Roane State,W,14-9,14,9,5,win,20240323_eeqc,0,0,0,0,0.1,2,2,2,54.00,6.00,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Mar 30,home,Motlow State,L,5-3,5,3,2,win,20240330_dbw5,0,0,0,0,1.0,3,1,1,9.00,3.00,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 3,home,Brett Carroll Academy,W,12-1,12,1,11,win,20240403_4jg6,1,0,0,0,1.0,1,0,0,0.00,1.00,0,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 6,home,Chattanooga State,L,7-4,7,4,3,win,20240406_z343,0,0,0,0,2.1,,,,0.00,,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 10,home,Calhoun,W,10-2,10,2,8,win,20240410_629i,0,0,0,0,1.0,,,,0.00,,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 12,home,Columbia State,L,15-14,15,14,1,win,20240412_i6nx,0,0,0,0,3.0,5,3,3,9.00,2.00,1,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 17,home,Carson Newman JV,W,10-9,10,9,1,win,20240417_sptr,0,0,0,0,1.0,1,,,0.00,1.00,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 20,home,Walters State,W,15-14,15,14,1,win,20240420_7n2g,0,0,0,0,1.1,3,3,3,20.25,2.25,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
Apr 27,home,Volunteer State,L,8-7,8,7,1,win,20240427_fzon,0,0,0,0,0.2,1,,,0.00,1.50,,2024,2023-24,div1,Cleveland State,clevelandstatecommunitycollege,zanebrownxuo3,Zane Brown
