date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 31,home,Arizona Western,L,6-0,6,0,6.0,win,20140131_96f5,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Jan 31,home,Yavapai,L,3-2,3,2,1.0,win,20140131_30jg,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 1,home,Glendale,W,6-3,6,3,3.0,win,20140201_knkp,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 1,home,Glendale,L,5-2,5,2,3.0,win,20140201_cp13,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 12,home,Yavapai,W,4-3,4,3,1.0,win,,,,,,,,,,,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 12,home,Yavapai,W,10-5,10,5,5.0,win,20140212_2yhj,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 14,home,Prairie Baseball Academy,W,12-6,12,6,6.0,win,20140214_4sdj,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 14,home,Chipola,L,8-0,8,0,8.0,win,20140214_r9ua,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 15,home,Okanagan,W,1-0,1,0,1.0,win,20140215_3x4k,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 16,home,Prairie Baseball Academy,W,12-4,12,4,8.0,win,,,,,,,,,,,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 20,home,Southern Idaho,L,6-3,6,3,3.0,win,20140220_9vdt,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 20,home,Colorado Northwestern,L,8-4,8,4,4.0,win,20140220_l3fu,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 21,home,Western Nevada,W,4-3,4,3,1.0,win,20140221_4x66,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Feb 22,home,Southern Nevada,W,10-4,10,4,6.0,win,20140222_ljll,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 1,home,Western Nevada,L,7-1,7,1,6.0,win,20140301_zt9u,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 1,home,Western Nevada,W,6-2,6,2,4.0,win,20140301_ur06,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 2,home,Western Nevada,W,9-4,9,4,5.0,win,,,,,,,,,,,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 2,home,Western Nevada,L,5-4,5,4,1.0,win,,,,,,,,,,,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 6,home,Southern Nevada,W,6-3,6,3,3.0,win,20140306_miqe,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 6,home,Southern Nevada,W,8-7,8,7,1.0,win,20140306_20h2,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 7,home,Southern Nevada,W,4-1,4,1,3.0,win,20140307_anwt,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 7,home,Southern Nevada,W,5-0,5,0,5.0,win,20140307_pui6,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 14,home,Colorado Northwestern,W,5-2,5,2,3.0,win,20140314_3dj9,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 14,home,Colorado Northwestern,W,7-4,7,4,3.0,win,20140314_rksc,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 15,home,Colorado Northwestern,W,7-4,7,4,3.0,win,20140315_nft4,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 15,home,Colorado Northwestern,W,8-1,8,1,7.0,win,20140315_obis,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 21,home,Southern Idaho,W,6-4,6,4,2.0,win,20140321_u4n4,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 21,home,Southern Idaho,W,4-2,4,2,2.0,win,20140321_sef6,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 22,home,Southern Idaho,L,6-3,6,3,3.0,win,20140322_oo90,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 22,home,Southern Idaho,W,7-1,7,1,6.0,win,20140322_ersg,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 27,home,Utah State Eastern,W,5-4,5,4,1.0,win,20140327_2kr3,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 27,home,Utah State Eastern,W,15-3,15,3,12.0,win,20140327_yn5t,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 29,home,Utah State Eastern,W,12-2,12,2,10.0,win,20140329_eo1m,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Mar 29,home,Utah State Eastern,W,8-0,8,0,8.0,win,20140329_695p,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 4,home,Western Nevada,W,4-3,4,3,1.0,win,20140404_rs4u,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 4,home,Western Nevada,L,5-3,5,3,2.0,win,20140404_dwnj,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 5,home,Western Nevada,W,6-3,6,3,3.0,win,20140405_be4f,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 5,home,Western Nevada,L,7-5,7,5,2.0,win,20140405_l9s7,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 11,home,Southern Nevada,W,11-5,11,5,6.0,win,20140411_m4b5,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 11,home,Southern Nevada,L,11-9,11,9,2.0,win,20140411_pgoc,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 12,home,Southern Nevada,W,9-6,9,6,3.0,win,20140412_wf6w,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
