date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,Northwest Florida State,L,1-0,1,0,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Jan 31,home,Palm Beach State,L,5-4,5,4,1.0,win,20150131_kt1e,0,0,1,0,1.1,3,3,3,20.25,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Jan 31,home,Palm Beach State,L,7-1,7,1,6.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 2,home,Eastern Florida State,W,8-7,8,7,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 4,home,South Florida State,L,7-6,7,6,1.0,win,20150204_bzvr,0,0,0,0,1.0,3,,,0.00,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 6,home,Hillsborough,W,11-2,11,2,9.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 6,home,Hillsborough,L,9-4,9,4,5.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 7,home,St. Petersburg,L,5-4,5,4,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 7,home,St. Petersburg,L,7-0,7,0,7.0,win,20150207_bqsr,0,0,0,0,1.2,3,2,,0.00,,2,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 9,home,Polk State,L,5-0,5,0,5.0,win,20150209_ofls,0,0,0,0,1.0,1,,,0.00,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 11,home,South Florida State,W,7-4,7,4,3.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 13,home,Hillsborough,W,8-5,8,5,3.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 13,home,Hillsborough,W,11-3,11,3,8.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 14,home,CCBC Catonsville,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 14,home,CCBC Catonsville,W,9-4,9,4,5.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 16,home,Polk State,L,5-0,5,0,5.0,win,20150216_9h41,0,0,0,0,1.1,2,,,0.00,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 18,home,State College of Florida,L,7-5,7,5,2.0,win,20150218_be3f,0,0,0,0,1.0,,,,0.00,1,1,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 20,home,Indian River State,L,8-3,8,3,5.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 21,home,CCBC Dundalk,W,15-6,15,6,9.0,win,20150221_jn5t,0,0,0,0,2.0,1,,,0.00,,2,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 21,home,CCBC Dundalk,W,2-1,2,1,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 23,home,State College of Florida,L,7-6,7,6,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 25,home,Eastern Florida State,L,8-4,8,4,4.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 27,home,St. Petersburg,L,7-0,7,0,7.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Feb 28,home,Indian River State,W,10-1,10,1,9.0,win,20150228_8nc2,1,1,0,0,5.0,4,1,1,1.80,1,6,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 2,home,Frederick,W,16-1,16,1,15.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 4,home,St. Johns River State,L,11-10,11,10,1.0,win,20150304_jyrv,0,0,0,0,4.1,4,1,1,2.08,2,3,1,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 6,home,St. Johns River State,L,8-0,8,0,8.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 7,home,St. Johns River State,L,6-2,6,2,4.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 9,home,Florida State Jacksonville,L,8-4,8,4,4.0,win,20150309_fjru,0,0,0,0,1.0,3,1,1,9.00,,1,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 11,home,Florida State Jacksonville,W,4-3,4,3,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 13,home,Florida State Jacksonville,W,6-1,6,1,5.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 14,home,Macomb,L,4-1,4,1,3.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 14,home,Macomb,W,5-3,5,3,2.0,win,20150314_125y,0,1,0,0,4.0,4,,,0.00,,3,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 16,home,Pasco-Hernando State,L,8-3,8,3,5.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 18,home,Pasco-Hernando State,L,10-0,10,0,10.0,win,20150318_wa53,0,0,0,0,1.1,4,1,1,6.75,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 21,home,Central Florida,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 25,home,Central Florida,L,4-2,4,2,2.0,win,20150325_r3en,0,0,1,0,3.0,2,2,1,3.00,2,,1,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 27,home,Lake-Sumter State,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 28,home,Lake-Sumter State,W,10-8,10,8,2.0,win,20150328_2dkv,0,0,0,0,2.0,5,4,4,18.00,,2,1,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Mar 30,home,Lake-Sumter State,W,4-2,4,2,2.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 1,home,Daytona State,W,3-2,3,2,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 3,home,Daytona State,L,6-4,6,4,2.0,win,20150403_igzb,0,0,0,0,1.0,2,,,0.00,1,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 4,home,Daytona State,L,4-3,4,3,1.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 6,home,Santa Fe,L,11-3,11,3,8.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 8,home,Santa Fe,L,13-5,13,5,8.0,win,20150408_bki4,0,0,0,0,1.0,2,2,2,18.00,1,1,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 10,home,Santa Fe,W,15-5,15,5,10.0,win,,,,,,,,,,,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
Apr 11,home,Central Florida,W,11-1,11,1,10.0,win,20150411_n394,0,0,0,0,1.0,1,,,0.00,,,,2015,2014-15,div1,Seminole State (FL),seminolestatecollegeofflorida,ajnorman6t11,AJ Norman
