date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 7,home,North Carolina State Club,W,7-6,7,6,1.0,win,20150207_k1vr,0,0,0,0,2.0,2,,,0.00,1,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 7,home,North Carolina State Club,W,14-8,14,8,6.0,win,20150207_b90d,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 8,home,North Carolina State Club,W,10-2,10,2,8.0,win,20150208_nas5,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 14,home,Guilford Tech,W,4-3,4,3,1.0,win,20150214_6yeu,0,0,0,1,1.2,1,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 14,home,Guilford Tech,W,3-0,3,0,3.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 15,home,Guilford Tech,,,,,3.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 15,home,Guilford Tech,,,,,3.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 21,home,Pitt,W,3-1,3,1,2.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 21,home,Pitt,L,4-0,4,0,4.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Feb 25,home,North Carolina State Club,,,,,4.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 4,home,North Carolina State Club,W,15-1,15,1,14.0,win,20150304_5d9r,0,0,0,0,1.0,,,,0.00,1,1,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 7,home,Chesapeake,W,2-1,2,1,1.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 7,home,Chesapeake,W,16-3,16,3,13.0,win,20150307_b6tv,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 8,home,Chesapeake,L,7-6,7,6,1.0,win,20150308_nyqe,0,0,0,0,0.2,1,,,0.00,1,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 8,home,Chesapeake,W,5-0,5,0,5.0,win,20150308_xq6r,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 14,home,Danville,W,5-0,5,0,5.0,win,20150314_qvnr,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 14,home,Danville,W,5-0,5,0,5.0,win,20150314_6pvy,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 15,home,Danville,,,,,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 15,home,Danville,,,,,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 17,home,Onondaga,W,7-2,7,2,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Mar 17,home,Onondaga,W,6-3,6,3,3.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
