date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,home,Bacone College JV,W,16-1,16,1,15.0,win,20170128_lhdn,0,0,0,0,1.0,,,,0.00,,2,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Jan 28,home,Bacone College JV,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 3,home,Paris,L,11-3,11,3,8.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 3,home,Paris,L,4-2,4,2,2.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 4,home,Paris,L,8-1,8,1,7.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 4,home,Weatherford,W,6-3,6,3,3.0,win,20170204_mrxr,0,1,0,0,1.1,1,1,1,6.75,1,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 11,home,Independence,W,15-3,15,3,12.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 11,home,Independence,W,15-12,15,12,3.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 12,home,Independence,W,10-6,10,6,4.0,win,20170212_p3fa,0,0,0,1,3.0,5,3,2,6.00,,1,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 16,home,Oklahoma Wesleyan JV,W,14-1,14,1,13.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 17,home,Cowley,L,10-8,10,8,2.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 18,home,Cowley,L,4-0,4,0,4.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 18,home,Cowley,L,3-2,3,2,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 21,home,Central Baptist College,,,,,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 21,home,Central Baptist College,,,,,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 24,home,Jefferson (MO),L,7-6,7,6,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 24,home,Jefferson (MO),W,8-5,8,5,3.0,win,20170224_wtvh,0,1,0,0,1.1,2,1,1,6.75,1,1,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Feb 25,home,Jefferson (MO),L,9-6,9,6,3.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 1,home,Carl Albert State,L,14-11,14,11,3.0,win,20170301_df5x,1,0,1,0,2.2,5,6,5,16.88,1,4,3,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 3,home,Indian Hills,L,20-10,20,10,10.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 4,home,Indian Hills,W,5-4,5,4,1.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 4,home,Indian Hills,L,9-0,9,0,9.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 5,home,Indian Hills,L,15-12,15,12,3.0,win,20170305_a642,0,0,0,0,1.1,4,4,3,20.25,,1,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 10,home,Redlands,W,7-0,7,0,7.0,win,20170310_17wn,0,0,0,0,1.0,,,,0.00,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 10,home,Redlands,W,7-0,7,0,7.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 18,home,Redlands,W,7-0,7,0,7.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 18,home,Redlands,W,7-0,7,0,7.0,win,20170318_zg08,0,0,0,0,0.1,2,2,2,54.00,,1,1,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 20,home,Southwest Christian University JV,W,11-0,11,0,11.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 20,home,Southwest Christian University JV,W,21-3,21,3,18.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 21,home,University of the Ozarks,W,21-5,21,5,16.0,win,20170321_mizq,0,1,0,0,2.0,,,,0.00,1,3,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 23,home,Carl Albert State,L,9-5,9,5,4.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
Mar 23,home,Carl Albert State,W,11-9,11,9,2.0,win,20170323_wc9k,0,0,0,0,5.1,3,2,2,3.38,1,5,2,2017,2016-17,div1,Eastern Oklahoma State,easternoklahomastatecollege,talyorandersai3n,Talyor Anders
