date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 4,home,Rochester,W,11-3,11,3,8.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 4,home,Rochester,W,10-8,10,8,2.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 5,home,Henry Ford,W,8-4,8,4,4.0,win,20180305_9kcz,0,0,0,0,4.2,5,4,,0.00,,4,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 5,home,Olney Central,L,3-2,3,2,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 7,home,RCSJ Cumberland,L,12-8,12,8,4.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 7,home,RCSJ Cumberland,W,9-5,9,5,4.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 8,home,Mercyhurst North East,W,4-3,4,3,1.0,win,20180308_n7p0,0,0,0,0,1.2,1,,,0.00,1,1,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 8,home,Lackawanna,L,18-0,18,0,18.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 18,home,Carl Sandburg,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 18,home,Carl Sandburg,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 21,home,Waubonsee,W,12-2,12,2,10.0,win,20180321_8a86,0,1,0,0,5.0,6,2,1,1.80,1,3,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 21,home,Waubonsee,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 22,home,Robert Morris University,W,17-9,17,9,8.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 22,home,Robert Morris University,W,15-2,15,2,13.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 23,home,Robert Morris University,W,4-3,4,3,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 23,home,Robert Morris University,W,5-4,5,4,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 25,home,Century,,,,,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 25,home,Harper,W,13-6,13,6,7.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 25,home,Century,,,,,7.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 27,home,Lake County,W,6-5,6,5,1.0,win,20180327_1sim,0,1,0,0,6.0,11,5,4,6.00,1,2,1,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 27,home,Lake County,W,10-3,10,3,7.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 29,home,Rockford University,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 29,home,Rockford University,W,8-1,8,1,7.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 30,home,Kankakee,L,14-11,14,11,3.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 31,home,Kankakee,W,16-9,16,9,7.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Mar 31,home,Kankakee,L,17-0,17,0,17.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Apr 4,home,Concordia University-Chicago,,,,,17.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Apr 5,home,Elgin,,,,,17.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Apr 5,home,Elgin,,,,,17.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Apr 7,home,Rock Valley,W,7-2,7,2,5.0,win,20180407_q3c5,0,1,0,0,7.0,6,2,,0.00,1,2,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
Apr 7,home,Rock Valley,W,8-7,8,7,1.0,win,,,,,,,,,,,,,,2018,2017-18,div3,DuPage,collegeofdupage,bryanmartinez0j9w,Bryan Martinez
