date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 2,home,Trinidad State,W,14-4,14,4,10.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 2,home,Trinidad State,W,11-5,11,5,6.0,win,20180202_3su5,1,1,0,0,5.1,7,5,3,5.06,0,11,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 4,home,Trinidad State,L,13-3,13,3,10.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 4,home,Trinidad State,L,3-2,3,2,1.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 7,home,McCook,W,16-9,16,9,7.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 11,home,Western Nebraska,W,4-2,4,2,2.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 11,home,Western Nebraska,W,9-3,9,3,6.0,win,20180211_3sd3,1,0,0,0,3.0,3,3,0,0.00,1,6,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 12,home,Western Nebraska,W,9-3,9,3,6.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 14,home,Lamar,L,9-7,9,7,2.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 16,home,New Mexico Military,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 16,home,New Mexico Military,W,10-2,10,2,8.0,win,20180216_im4q,1,1,0,0,7.0,10,2,2,2.57,1,3,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 17,home,New Mexico Military,W,6-4,6,4,2.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
Feb 17,home,New Mexico Military,L,9-5,9,5,4.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Garden City,gardencitycommunitycollege,ericheimanv7to,Eric Heiman
