date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 22,home,Bishop State,,,,,5.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Sep 29,home,Delgado Community College Tournament,,,,,5.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Oct 2,home,Belhaven University Tournament,,,,,5.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Oct 19,home,Elaine P. Nunez Community College Tournament,,,,,5.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 18,home,Nunez,W,6-3,6,3,3.0,win,20180218_rnfc,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 18,home,Nunez,W,11-1,11,1,10.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 19,home,Blue Mountain College,W,7-2,7,2,5.0,win,20180219_tqs3,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 19,home,Blue Mountain College,W,12-1,12,1,11.0,win,20180219_tlu7,0,0,0,0,1.1,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 23,home,Bishop State,,,,,11.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 23,home,Bishop State,,,,,11.0,win,,,,,,,,,,,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 26,home,Blue Mountain College,W,16-7,16,7,9.0,win,20180226_283d,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Feb 26,home,Blue Mountain College,W,13-3,13,3,10.0,win,20180226_pjb2,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 2,home,Nunez,L,4-3,4,3,1.0,win,20180302_dopk,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 2,home,Nunez,L,6-3,6,3,3.0,win,20180302_hlvl,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 6,home,Crowleys Ridge,W,9-0,9,0,9.0,win,20180306_47zh,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 6,home,Crowleys Ridge,W,7-3,7,3,4.0,win,20180306_sc06,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 8,home,Williams Baptist College JV,W,12-0,12,0,12.0,win,20180308_1v9z,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 8,home,Williams Baptist College JV,W,10-1,10,1,9.0,win,20180308_3aqn,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 12,home,Crowleys Ridge,W,15-1,15,1,14.0,win,20180312_ydlw,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 12,home,Crowleys Ridge,W,17-5,17,5,12.0,win,20180312_182t,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 14,home,Williams Baptist College JV,W,17-7,17,7,10.0,win,20180314_xceq,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 14,home,Williams Baptist College JV,W,14-1,14,1,13.0,win,20180314_l1vv,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 17,home,Southwest Mississippi,L,8-4,8,4,4.0,win,20180317_8cu8,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 17,home,Southwest Mississippi,L,11-3,11,3,8.0,win,20180317_u2tc,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 21,home,Itawamba,L,5-3,5,3,2.0,win,20180321_si2m,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 21,home,Itawamba,W,10-3,10,3,7.0,win,20180321_hrn7,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 24,home,East Central (MS),L,10-9,10,9,1.0,win,20180324_zk9l,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 24,home,East Central (MS),L,3-2,3,2,1.0,win,20180324_w46f,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 27,home,Northwest Mississippi,L,11-2,11,2,9.0,win,20180327_hlet,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 27,home,Northwest Mississippi,L,11-4,11,4,7.0,win,20180327_qmf9,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 31,home,Mississippi Gulf Coast,L,10-4,10,4,6.0,win,20180331_w5uc,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Mar 31,home,Mississippi Gulf Coast,L,9-7,9,7,2.0,win,20180331_v5of,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 4,home,East Mississippi,L,12-0,12,0,12.0,win,20180404_o8s3,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 4,home,East Mississippi,W,10-3,10,3,7.0,win,20180404_1k9l,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 8,home,Hinds,L,14-3,14,3,11.0,win,20180408_57p7,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 8,home,Hinds,W,5-4,5,4,1.0,win,20180408_t6wj,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 10,home,Mississippi Delta,L,15-13,15,13,2.0,win,20180410_rkhb,0,0,0,0,6.0,8,5,5,7.50,1,2,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 10,home,Mississippi Delta,L,6-3,6,3,3.0,win,20180410_nqil,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 13,home,Meridian,L,15-3,15,3,12.0,win,20180413_gl93,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 13,home,Meridian,L,9-5,9,5,4.0,win,20180413_44ek,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 18,home,Northeast Mississippi,L,17-6,17,6,11.0,win,20180418_wfi0,0,0,0,0,1.0,3,3,3,27.00,2,0,0,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 18,home,Northeast Mississippi,L,3-1,3,1,2.0,win,20180418_8b7s,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 21,home,Copiah-Lincoln,L,11-6,11,6,5.0,win,20180421_43np,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 21,home,Copiah-Lincoln,L,13-5,13,5,8.0,win,20180421_vmez,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 24,home,Coahoma,L,14-12,14,12,2.0,win,20180424_0vqp,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 24,home,Coahoma,W,6-1,6,1,5.0,win,20180424_b2e6,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 28,home,Pearl River,L,16-1,16,1,15.0,win,20180428_9s12,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
Apr 28,home,Pearl River,L,10-9,10,9,1.0,win,20180428_b18n,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
May 2,home,Jones,L,12-2,12,2,10.0,win,20180502_p8x6,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
May 2,home,Jones,L,8-3,8,3,5.0,win,20180502_57rz,0,0,0,0,0.0,,,,0.00,,,,2018,2017-18,div2,Holmes,holmescommunitycollege,mattwarrenj7ym,Matt Warren
