date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 31,home,Cowley,L,10-4,10,4,6.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 1,home,Cowley,L,9-3,9,3,6.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 1,home,Cowley,L,11-10,11,10,1.0,win,20200201_x27t,0,0,0,0,3.0,1,,,0.00,1,5,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 4,home,Weatherford,L,12-2,12,2,10.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 8,home,Pratt,W,11-3,11,3,8.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 8,home,Pratt,W,7-4,7,4,3.0,win,20200208_3dp4,0,0,0,1,2.0,3,,,0.00,,3,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 9,home,Pratt,W,12-5,12,5,7.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 15,home,TCS Post Grad,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 15,home,TCS Post Grad,W,14-9,14,9,5.0,win,20200215_4j90,0,0,0,0,2.0,2,,,0.00,1,2,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
Feb 18,home,Murray State,W,19-5,19,5,14.0,win,,,,,,,,,,,,,,2020,2019-20,div1,Northeast Texas,northeasttexascommunitycollege,camdensargentzwop,Camden Sargent
