date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 27,home,Minnesota North College - Vermilion,W,7-0,7,0,7.0,win,20200228_rht4,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Feb 28,home,Minnesota North College - Vermilion,W,7-2,7,2,5.0,win,20200228_nrff,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 7,home,Lehigh Carbon,L,10-7,10,7,3.0,win,20200307_q0t9,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 7,home,Union,L,3-2,3,2,1.0,win,20200307_h3ju,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 8,home,Chesapeake,L,10-0,10,0,10.0,win,20200308_dml8,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 8,home,Middlesex College,W,11-1,11,1,10.0,win,20200308_0c53,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 10,home,PSU Greater Allegheny,L,11-1,11,1,10.0,win,20200310_1c3k,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 10,home,Lehigh Carbon,W,15-8,15,8,7.0,win,20200310_sve1,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 11,home,Union,W,8-3,8,3,5.0,win,20200311_tlxc,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 11,home,Bergen,W,6-5,6,5,1.0,win,20200311_0ge9,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 13,home,Henry Ford,W,8-6,8,6,2.0,win,20200313_uug9,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 13,home,MacMurray,W,11-9,11,9,2.0,win,20200313_ttyd,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 14,home,Mercer County,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 14,home,Bergen,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 27,home,Rock Valley,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 27,home,Rock Valley,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 28,home,Milwaukee Area Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 28,home,Milwaukee Area Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 29,home,Madison,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Mar 29,home,Madison,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 2,home,Saint Mary's of MN JV,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 2,home,Saint Mary's of MN JV,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 5,home,Luther College JV,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 5,home,Luther College JV,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 10,home,Anoka-Ramsey,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 10,home,Anoka-Ramsey,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 11,home,Ridgewater,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 11,home,Ridgewater,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 15,home,St. Cloud Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 15,home,St. Cloud Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 18,home,Western Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 18,home,Western Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 19,home,Western Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 19,home,Western Tech,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 25,home,Century,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 25,home,Century,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 26,home,Century,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 26,home,Century,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 28,home,Viterbo JV,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
Apr 28,home,Viterbo JV,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 2,home,Riverland,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 2,home,Riverland,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 3,home,Riverland,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 3,home,Riverland,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 6,home,Minnesota State,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 6,home,Minnesota State,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 9,home,TBA,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 10,home,TBA,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 13,home,TBA,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
May 23,home,TBA,,,,,2.0,win,,,,,,,,,,,,,,2020,2019-20,div3,Rochester,rochestercommunityandtechnicalcolleg,kaihershbergerqmd0,Kai Hershberger
