date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 25  #,home,Penn State DuBois,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Sep 25  #,home,Penn State DuBois,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Oct 2  #,home,Fredonia State,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Oct 2  #,home,Fredonia State,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Oct 9  #,home,Gannon University,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Oct 9  #,home,Gannon University,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Oct 16  #,home,Scout Day,,,,,5.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 17,home,Westmoreland,W,7-0,7,0,7.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 17,home,Westmoreland,L,12-7,12,7,5.0,win,20220317_spgg,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 18,home,Westmoreland,L,10-4,10,4,6.0,win,20220318_fpum,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 18,home,Butler County,,,,,6.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 18,home,Butler County,,,,,6.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 22,home,Monroe CC,L,10-0,10,0,10.0,win,20220322_gqzv,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 22,home,Monroe CC,L,12-2,12,2,10.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 24,home,Tompkins Cortland,W,10-0,10,0,10.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 24,home,Tompkins Cortland,W,14-4,14,4,10.0,win,20220324_ahat,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 31,home,Genesee,L,13-3,13,3,10.0,win,20220331_qo42,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Mar 31,home,Genesee,L,8-1,8,1,7.0,win,20220331_eate,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 2,home,Genesee,L,13-0,13,0,13.0,win,,,,,,,,,,,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 2,home,Genesee,W,9-4,9,4,5.0,win,20220402_vvrn,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 10,home,Onondaga,W,1-0,1,0,1.0,win,20220410_eq6d,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 10,home,Onondaga,W,6-4,6,4,2.0,win,20220410_1vj4,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 13,home,Tompkins Cortland,W,16-4,16,4,12.0,win,20220413_6v5n,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 13,home,Tompkins Cortland,W,21-3,21,3,18.0,win,20220413_jvtz,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
Apr 14,home,SUNY Broome,L,8-4,8,4,4.0,win,20220414_7gk0,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div3,Jamestown,jamestowncommunitycollege,chrisnavarrog508,Chris Navarro
