date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
May 4,home,Columbia-Greene,W,10-0,10,0,10,win,20230504_je5u,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
May 2,home,SUNY Adirondack,W,8-6,8,6,2,win,20230502_lez9,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 27,home,Mohawk Valley,W,12-2,12,2,10,win,20230427_dc1j,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 25,home,Mohawk Valley,W,10-3,10,3,7,win,20230425_38zl,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 22,home,Cayuga,L,11-8,11,8,3,win,20230422_tyze,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 20,home,Cayuga,W,2-1,2,1,1,win,20230420_lvrr,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 16,home,Jefferson (NY),W,13-2,13,2,11,win,20230416_fkws,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 15,home,Jefferson (NY),W,11-7,11,7,4,win,20230415_cqw5,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 13,home,Hudson Valley,W,17-10,17,10,7,win,20230413_f4ke,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 13,home,Hudson Valley,W,7-6,7,6,1,win,20230413_dse6,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 8,home,Hudson Valley,W,15-2,15,2,13,win,20230408_ekl4,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 4,home,Monroe CC,W,7-2,7,2,5,win,20230404_c05d,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 4,home,Monroe CC,W,2-1,2,1,1,win,20230404_7o8t,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Apr 3,home,SUNY Broome,W,12-1,12,1,11,win,20230403_bnyk,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Mar 26,home,SUNY Adirondack,L,12-2,12,2,10,win,20230326_e5ur,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Mar 17,home,Northern Essex,W,6-3,6,3,3,win,20230317_o2o2,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Mar 15,home,Waubonsee,W,6-4,6,4,2,win,20230315_n627,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Mar 13,home,Rockland,W,13-2,13,2,11,win,20230313_t95d,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
Mar 12,home,Oakton,W,9-1,9,1,8,win,20230312_dkal,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Herkimer,herkimercollege,connorlynchpho8,Connor Lynch
