date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 27,home,Dallas College - North Lake,L,14-4,14,4,10,win,20230427_rk7f,0,0,1,0,4.0,10,7,6,13.50,2,1,1,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Apr 22,home,Dallas College - Brookhaven,L,12-10,12,10,2,win,20230422_rt2e,0,0,0,0,1.1,2,2,2,13.50,,1,1,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Apr 19,home,Dallas College - Brookhaven,L,9-3,9,3,6,win,20230419_d3as,0,0,0,0,6.1,6,5,2,2.84,,4,,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Apr 12,home,Dallas College - Cedar Valley,L,18-17,18,17,1,win,20230412_4dxp,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Apr 5,home,Dallas College - Eastfield,L,18-0,18,0,18,win,20230405_5qgu,0,0,0,0,4.1,10,8,8,16.62,3,6,,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Mar 29,home,Dallas College - Richland,L,4-1,4,1,3,win,20230329_85kr,0,0,0,0,7.0,7,4,4,5.14,1,3,1,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Mar 21,home,LeTourneau University JV,W,5-1,5,1,4,win,20230321_vux9,0,0,0,0,7.0,9,1,1,1.29,1,5,,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Mar 13,home,Spartan Post Grad,W,9-4,9,4,5,win,20230313_06tu,0,0,0,0,6.0,6,4,4,6.00,1,7,1,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Mar 6,home,John Melvin University,L,8-7,8,7,1,win,20230306_znrh,0,0,0,0,4.0,4,2,2,4.50,1,1,,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
Feb 10,home,Rust College,L,15-1,15,1,14,win,20230210_o3yw,0,0,0,0,0.0,1,4,4,INF,3,,,2023,2022-23,div3,Dallas College - Mountain View,dallascollegemountainview,jaxbrashearl2ho,Jax Brashear
