date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 12,home,Coffeyville,L,5-2,5,2,3,win,20230312_9dzw,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Mar 9,home,Coffeyville,W,6-3,6,3,3,win,20230309_ps97,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Mar 9,home,Coffeyville,W,7-0,7,0,7,win,20230309_jy3k,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Mar 6,home,Indian Hills,L,6-2,6,2,4,win,20230306_4rtb,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Mar 5,home,Indian Hills,L,1-0,1,0,1,win,20230305_dpqo,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Mar 5,home,Indian Hills,W,7-6,7,6,1,win,20230305_y3e5,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Mar 4,home,Indian Hills,W,8-0,8,0,8,win,20230304_6hda,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Feb 25,home,McLennan,L,5-2,5,2,3,win,20230225_urrs,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Feb 24,home,McLennan,L,2-0,2,0,2,win,20230224_qspf,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Feb 24,home,McLennan,L,3-1,3,1,2,win,20230224_5ot5,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Feb 18,home,Grayson,W,14-11,14,11,3,win,20230218_0awa,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Feb 17,home,Grayson,W,9-5,9,5,4,win,20230217_4ft0,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
Feb 17,home,Grayson,W,9-0,9,0,9,win,20230217_tdc1,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Cowley,cowleycountycommunitycollege,lukeshannahan79vd,Luke Shannahan
