date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
May 2,home,McKendree University,W,20-4,20,4,16,win,20230502_yb19,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 29,home,Southwestern Illinois,L,11-10,11,10,1,win,20230429_gyly,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 28,home,Southwestern Illinois,L,15-9,15,9,6,win,20230428_uefy,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 25,home,Rend Lake,L,5-3,5,3,2,win,20230425_bydf,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 22,home,Southeastern Illinois,W,10-7,10,7,3,win,20230422_1wet,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 22,home,Southeastern Illinois,W,16-7,16,7,9,win,20230422_ec5q,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 19,home,Southeastern Illinois,L,6-4,6,4,2,win,20230419_3nlc,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 14,home,Wabash Valley,L,7-2,7,2,5,win,20230414_jrpv,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 14,home,Wabash Valley,L,19-2,19,2,17,win,20230414_rxu9,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
Apr 13,home,Wabash Valley,L,20-10,20,10,10,win,20230413_bx8f,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Kaskaskia,kaskaskiacollege,matthewhunzingerg2oi,Matthew Hunzinger
