date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 17,home,CCBC Catonsville,W,13-2,13,2,11,win,20240417_hoka,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Apr 14,home,Prince George's,W,25-2,25,2,23,win,20240414_s3tl,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Apr 13,home,Chesapeake,W,15-0,15,0,15,win,20240413_jjlo,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Apr 9,home,RCSJ Gloucester,W,13-8,13,8,5,win,20240409_44gx,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Apr 7,home,CCBC Essex,W,10-0,10,0,10,win,20240407_pfzw,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Apr 7,home,CCBC Essex,W,6-3,6,3,3,win,20240407_fd8e,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Apr 4,home,Cecil,W,7-4,7,4,3,win,20240404_xvbu,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 29,home,Monroe College,W,8-1,8,1,7,win,20240329_ui3i,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 26,home,Frederick,L,2-0,2,0,2,win,20240326_qe1b,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 24,home,Garrett,W,9-1,9,1,8,win,20240324_jaia,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 22,home,Monroe College,W,15-2,15,2,13,win,20240322_7cra,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 19,home,CCBC Dundalk,W,13-12,13,12,1,win,20240319_qwk6,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 16,home,Bryant & Stratton (VA),L,9-6,9,6,3,win,20240316_ai6z,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 12,home,RCSJ Gloucester,W,16-2,16,2,14,win,20240312_q9ob,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 8,home,CCBC Essex,W,2-0,2,0,2,win,20240308_rkdt,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 5,home,Mercer County,W,13-3,13,3,10,win,20240305_kgzw,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 3,home,CCBC Essex,W,10-3,10,3,7,win,20240303_velo,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Mar 1,home,Southern Maryland,W,16-5,16,5,11,win,20240301_tndz,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 27,home,Anne Arundel,W,13-7,13,7,6,win,20240227_9yqw,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 26,home,Montgomery,W,10-2,10,2,8,win,20240226_prjy,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 20,home,Gaston College,L,11-4,11,4,7,win,20240220_j5ti,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 18,home,Florence-Darlington Tech,L,8-4,8,4,4,win,20240218_yyvt,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 17,home,Brunswick,L,5-4,5,4,1,win,20240217_5ivk,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 17,home,Brunswick,L,7-0,7,0,7,win,20240217_9nz9,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
Feb 16,home,Florence-Darlington Tech,W,7-3,7,3,4,win,20240216_g1ru,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Harford,harfordcommunitycollege,simmiwhitehill0ob7,Simmi Whitehill
