season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,ASU Mountain Home,arkansasstateuniversitymountainhome,328,0.0,18.0,1.0,13.0,0.594,192.0,152.0,85.0,0.559,168.71,93.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,299,22.0,8.0,15.0,2.0,0.92,176.0,151.0,133.0,0.881,139.37,126.0
2024,2023-24,Alexandria Tech,alexandriatechnicalcommunitycollege,191,12.0,5.0,5.0,2.0,0.833,77.0,57.0,54.0,0.947,81.67,62.0
2024,2023-24,Allegany Maryland,alleganycollegeofmaryland,244,11.0,13.0,5.0,2.0,0.9,148.0,95.0,92.0,0.968,139.69,97.0
2024,2023-24,Allen County,allencountycommunitycollege,437,3.0,15.0,14.0,1.0,0.967,221.0,188.0,155.0,0.824,258.49,142.0
2024,2023-24,Alpena,alpenacommunitycollege,94,7.0,1.0,0.0,0.0,1.0,68.0,64.0,50.0,0.781,41.629999999999995,27.0
2024,2023-24,Alvin,alvincommunitycollege,360,27.0,13.0,15.0,3.0,0.903,223.0,194.0,136.0,0.701,154.34,140.0
2024,2023-24,Amarillo College,amarillocollege,346,27.0,17.0,9.0,1.0,0.963,207.0,171.0,124.0,0.725,157.43,154.0
2024,2023-24,Andrew,andrewcollege,361,31.0,15.0,13.0,3.0,0.903,254.0,200.0,154.0,0.77,161.85,79.0
2024,2023-24,Angelina,angelinacollege,352,0.0,11.0,16.0,1.0,0.964,232.0,191.0,144.0,0.754,184.8,123.0
2024,2023-24,Anne Arundel,annearundelcommunitycollege,378,28.0,14.0,14.0,4.0,0.875,207.0,212.0,146.0,0.689,250.5,176.0
2024,2023-24,Anoka-Ramsey,anokaramseycommunitycollege,92,8.0,3.0,5.0,0.0,1.0,71.0,70.0,55.0,0.786,63.28,46.0
2024,2023-24,Arizona Western,arizonawesterncollege,473,32.0,25.0,7.0,3.0,0.914,256.0,155.0,133.0,0.858,197.66,110.0
2024,2023-24,Arkansas State Mid-South,arkansasstatemidsouth,316,10.0,7.0,15.0,0.0,1.0,215.0,252.0,185.0,0.734,274.0,179.0
2024,2023-24,Arkansas State University - Three Rivers,arkansasstateuniversitythreerivers,274,21.0,2.0,15.0,0.0,1.0,223.0,218.0,174.0,0.798,206.54,98.0
2024,2023-24,Barton,bartoncommunitycollege,385,27.0,22.0,6.0,6.0,0.824,222.0,152.0,121.0,0.796,198.77,102.0
2024,2023-24,Baton Rouge,batonrougecommunitycollege,548,34.0,7.0,26.0,0.0,1.0,370.0,314.0,254.0,0.809,317.99,169.0
2024,2023-24,Bay College,baycollege,158,12.0,7.0,5.0,1.0,0.923,97.0,80.0,65.0,0.812,61.769999999999996,45.0
2024,2023-24,Bergen,bergencommunitycollege,164,12.0,4.0,2.0,0.0,1.0,88.0,92.0,73.0,0.793,107.78,66.0
2024,2023-24,Bevill State,bevillstatecommunitycollege,411,23.0,10.0,17.0,2.0,0.931,210.0,163.0,107.0,0.656,207.68,125.0
2024,2023-24,Bishop State,bishopstatecommunitycollege,396,27.0,16.0,12.0,5.0,0.848,194.0,141.0,99.0,0.702,162.32,89.0
2024,2023-24,Bismarck State,bismarckstatecollege,161,12.0,8.0,4.0,3.0,0.8,82.0,71.0,57.0,0.803,64.46,61.0
2024,2023-24,Black Hawk,blackhawkcollegemoline,222,17.0,10.0,5.0,2.0,0.882,90.0,62.0,50.0,0.806,54.43,47.0
2024,2023-24,Blinn,blinncollege,388,30.0,20.0,13.0,4.0,0.892,232.0,142.0,111.0,0.782,144.89,102.0
2024,2023-24,Borough of Manhattan,boroughofmanhattancommunitycollege,29,2.0,0.0,2.0,0.0,1.0,23.0,36.0,28.0,0.778,32.7,25.0
2024,2023-24,Bossier Parish,bossierparishcommunitycollege,451,35.0,18.0,14.0,10.0,0.762,276.0,224.0,175.0,0.781,284.1,162.0
2024,2023-24,Bronx,bronxcommunitycollege,75,3.0,2.0,4.0,0.0,1.0,69.0,85.0,47.0,0.553,73.81,43.0
2024,2023-24,Brookdale,brookdalecommunitycollege,264,18.0,17.0,1.0,2.0,0.9,79.0,36.0,19.0,0.528,64.0,51.0
2024,2023-24,Brunswick,brunswickcommunitycollege,307,13.0,18.0,1.0,10.0,0.655,119.0,61.0,53.0,0.869,90.03,79.0
2024,2023-24,Bryant & Stratton (OH),bryantstrattonoh,121,6.0,1.0,1.0,0.0,1.0,59.0,55.0,46.0,0.836,56.36,49.0
2024,2023-24,Bryant & Stratton (VA),bryantstrattoncollegeva,367,22.0,10.0,4.0,2.0,0.875,217.0,164.0,135.0,0.823,197.95,109.0
2024,2023-24,Bryant & Stratton College (WI),bryantstrattoncollegewi,180,1.0,4.0,8.0,2.0,0.857,86.0,86.0,58.0,0.674,93.15,59.0
2024,2023-24,Butler,butlercommunitycollegeks,410,28.0,17.0,11.0,6.0,0.824,252.0,192.0,157.0,0.818,253.79,118.0
2024,2023-24,CC of Allegheny County,ccofalleghenycounty,161,6.0,3.0,9.0,0.0,1.0,141.0,116.0,79.0,0.681,53.1,36.0
2024,2023-24,CCBC Catonsville,ccbccatonsville,250,19.0,10.0,9.0,4.0,0.826,143.0,116.0,93.0,0.802,97.18,67.0
2024,2023-24,CCBC Dundalk,ccbcdundalk,97,6.0,0.0,6.0,0.0,1.0,81.0,85.0,64.0,0.753,53.55,45.0
2024,2023-24,CCBC Essex,ccbcessex,270,17.0,6.0,10.0,1.0,0.941,117.0,98.0,80.0,0.816,110.79,83.0
2024,2023-24,Caldwell Tech,caldwellcommunitycollegetechnicali,300,21.0,9.0,10.0,3.0,0.864,167.0,146.0,113.0,0.774,165.44,128.0
2024,2023-24,Calhoun,calhouncommunitycollege,331,24.0,10.0,12.0,6.0,0.786,192.0,184.0,128.0,0.696,187.66,108.0
2024,2023-24,Camden County,camdencountycollege,117,6.0,3.0,6.0,0.0,1.0,65.0,63.0,48.0,0.762,43.96,48.0
2024,2023-24,Camp,campcommunitycollege,342,26.0,5.0,7.0,4.0,0.75,198.0,159.0,117.0,0.736,181.04,105.0
2024,2023-24,Carl Albert State,carlalbertstatecollege,343,27.0,15.0,12.0,3.0,0.9,202.0,179.0,114.0,0.637,177.43,146.0
2024,2023-24,Carl Sandburg,carlsandburgcollege,143,11.0,4.0,8.0,0.0,1.0,118.0,116.0,100.0,0.862,101.3,55.0
2024,2023-24,Catawba Valley,catawbavalleycommunitycollege,402,26.0,12.0,14.0,4.0,0.867,228.0,226.0,171.0,0.757,306.32,140.0
2024,2023-24,Cayuga,cayugacommunitycollege,135,10.0,5.0,5.0,0.0,1.0,100.0,80.0,75.0,0.938,70.48,53.0
2024,2023-24,Cecil,cecilcollege,209,14.0,4.0,12.0,0.0,1.0,126.0,126.0,93.0,0.738,112.75,84.0
2024,2023-24,Central Alabama,centralalabamacommunitycollege,502,38.0,16.0,16.0,9.0,0.78,310.0,226.0,162.0,0.717,274.64,142.0
2024,2023-24,Central Arizona,centralarizonacollege,480,36.0,30.0,5.0,4.0,0.897,171.0,96.0,65.0,0.677,153.13,139.0
2024,2023-24,Central Florida,collegeofcentralflorida,454,32.0,18.0,14.0,4.0,0.889,219.0,189.0,150.0,0.794,215.98,158.0
2024,2023-24,Central Lakes,centrallakescollegebrainerd,15,0.0,1.0,0.0,0.0,1.0,8.0,10.0,7.0,0.7,14.0,7.0
2024,2023-24,Century,centurycollege,219,17.0,9.0,4.0,2.0,0.867,112.0,97.0,81.0,0.835,91.47,66.0
2024,2023-24,Chandler-Gilbert,chandlergilbertcommunitycollege,452,33.0,22.0,12.0,1.0,0.971,264.0,184.0,125.0,0.679,174.49,141.0
2024,2023-24,Chattahoochee Valley,chattahoocheevalleycommunitycollege,355,0.0,7.0,12.0,0.0,1.0,223.0,184.0,139.0,0.755,194.52,110.0
2024,2023-24,Chattanooga State,chattanoogastatecommunitycollege,418,8.0,22.0,6.0,2.0,0.933,200.0,162.0,145.0,0.895,148.75,125.0
2024,2023-24,Chesapeake,chesapeakecollege,293,21.0,14.0,8.0,3.0,0.88,141.0,131.0,85.0,0.649,152.38,110.0
2024,2023-24,Chipola,chipolacollege,473,29.0,20.0,11.0,3.0,0.912,219.0,160.0,142.0,0.888,213.95,139.0
2024,2023-24,Cisco,ciscocollege,422,28.0,20.0,8.0,4.0,0.875,212.0,159.0,126.0,0.792,228.58,129.0
2024,2023-24,Clarendon,clarendoncollege,335,2.0,9.0,12.0,0.0,1.0,221.0,220.0,176.0,0.8,178.03,127.0
2024,2023-24,Clark State,clarkstatecollege,227,16.0,4.0,6.0,0.0,1.0,109.0,118.0,81.0,0.686,151.39000000000001,96.0
2024,2023-24,Cleveland,clevelandcommunitycollege,401,27.0,10.0,8.0,4.0,0.818,230.0,179.0,157.0,0.877,223.19,141.0
2024,2023-24,Cleveland State,clevelandstatecommunitycollege,452,30.0,19.0,8.0,5.0,0.844,187.0,129.0,101.0,0.783,146.97,89.0
2024,2023-24,Cloud County,cloudcountycommunitycollege,446,29.0,23.0,11.0,5.0,0.872,224.0,178.0,150.0,0.843,245.65,121.0
2024,2023-24,Coahoma,coahomacommunitycollege,313,25.0,4.0,14.0,0.0,1.0,250.0,211.0,185.0,0.877,168.54,138.0
2024,2023-24,Coastal Alabama - North,coastalalabamanorth,518,21.0,13.0,18.0,3.0,0.912,298.0,250.0,196.0,0.784,310.05,139.0
2024,2023-24,Coastal Alabama - South,coastalalabamasouth,347,25.0,10.0,15.0,2.0,0.926,230.0,174.0,155.0,0.891,206.53,114.0
2024,2023-24,Coastal Bend,coastalbendcollege,454,1.0,14.0,12.0,0.0,1.0,211.0,181.0,142.0,0.785,186.61,160.0
2024,2023-24,Cochise,cochisecollege,487,43.0,25.0,14.0,3.0,0.929,270.0,154.0,122.0,0.792,217.89,144.0
2024,2023-24,Coffeyville,coffeyvillecommunitycollege,345,24.0,9.0,15.0,3.0,0.889,201.0,152.0,114.0,0.75,181.04,114.0
2024,2023-24,Colby,colbycommunitycollege,339,26.0,3.0,26.0,0.0,1.0,256.0,249.0,200.0,0.803,201.02,156.0
2024,2023-24,Colorado Northwestern,coloradonorthwesterncommunitycollege,473,20.0,2.0,25.0,1.0,0.964,305.0,289.0,241.0,0.834,264.83,181.0
2024,2023-24,Columbia State,columbiastatecommunitycollege,368,25.0,14.0,8.0,2.0,0.917,219.0,167.0,146.0,0.874,187.73,140.0
2024,2023-24,Community Christian (CA),communitychristiancollege,215,16.0,2.0,10.0,0.0,1.0,214.0,212.0,181.0,0.854,125.03,100.0
